,0,1
0,90362093.12303789,-32974639.106079824
1,86134358.82701881,-27225195.497841276
2,90133700.70265843,-33431423.94683844
3,81536980.804392,-28254676.504240956
4,83088038.66555062,-31805582.615949813
5,83486218.54645585,-32721755.62110971
6,89845953.61960231,-33064291.593380872
7,89485870.61185731,-34039431.78034052
8,77640162.03197737,-28478667.308657892
9,81292595.49815348,-31827991.873028826
10,88912899.79147066,-33633379.51157854
11,80294816.33504269,-29384233.77388976
12,78449966.03975779,-29239155.712912284
13,79304494.35073093,-29256118.094797626
14,89025259.69987315,-33927475.40504361
15,89012201.7875584,-33732225.985830344
16,88987851.15769279,-33732225.985830344
17,78524510.63865608,-29258132.133931104
18,87738275.698364,-35622534.06251222
19,71102625.17590605,-29344443.26181995
20,77613157.36196503,-30680351.103804983
21,79607853.72803687,-33850337.69803474
22,78518617.72743239,-31442462.732494216
23,84305227.6874635,-34568856.91949845
24,81722634.13074963,-34106549.516438946
25,83005875.65264155,-34233621.78314553
26,78381322.53935498,-31337951.982317455
27,84263214.62049128,-34484830.785554215
28,82856813.89788193,-40464670.85635208
29,69443251.72723629,-30908925.44415913
30,78087190.9441374,-31404732.486681882
31,82024624.41100483,-35354399.3577444
32,82115782.3785776,-38420534.91179946
33,81727462.35567676,-36397659.06588421
34,77336545.38692309,-32301020.278631173
35,81115153.36742933,-36134875.359529525
36,81692073.60122715,-36684203.34580493
37,75030710.06670909,-33482796.519414917
38,77021338.33465648,-35915859.97057733
39,75825520.5662606,-33790069.462620966
40,77579494.97788996,-36670743.27431562
41,77450501.85223812,-36561707.77777287
42,81184111.02132669,-42862537.653427094
43,75564322.3438894,-33919359.64271795
44,80938387.0718614,-36879925.606338136
45,75656289.66176623,-34260477.69113538
46,81018152.92927971,-37202784.00873693
47,75573672.97515707,-34137719.538408235
48,80240473.98915918,-37978141.779195175
49,69960005.65820679,-34908765.288003385
50,73031810.1987729,-35523221.6042583
51,75131267.89981845,-36811435.18834861
52,77614287.23227432,-37051292.539284855
53,78285473.18810257,-37574420.63754535
54,78901086.22467485,-37761847.6889687
55,80157898.63479823,-38089864.00268067
56,69064668.34922563,-36804898.91122684
57,75579130.96790868,-37456883.693732984
58,69542609.30591752,-37002596.59251039
59,75129971.59371872,-37346329.07975906
60,80157898.63479823,-38089864.00268067
61,61010475.34729416,-37048095.07069136
62,79083454.71289048,-48070268.95394864
63,74591664.8477609,-37514104.34411067
64,78865160.67849217,-44138679.62637134
65,76528721.77161464,-39123635.183887094
66,77457645.661567,-41285736.10242549
67,76990118.50049824,-40599007.22029382
68,77307942.21842591,-40828633.98728222
69,77410389.49739924,-41010608.40962737
70,77718965.9990516,-47041019.98547723
71,61331796.39570099,-37826121.68261479
72,71340220.18859206,-37859068.38981247
73,77426947.00408304,-41640457.92453075
74,77702886.30500115,-47016948.59901631
75,73702706.89323056,-37946812.399059094
76,75832359.1324366,-39482984.48155168
77,76165102.50689787,-39809691.24871251
78,77239496.9327354,-40894437.65015401
79,77336168.62954177,-41049407.85552289
80,77687355.26326077,-47021680.24625412
81,61286776.80678376,-38053782.38174865
82,72315862.30881763,-38079344.40555182
83,77325605.57754219,-41766418.75267292
84,75241146.72730415,-39810663.95446622
85,73506818.4750926,-39224570.105585456
86,76118474.39157437,-41087745.73121696
87,73292729.22640684,-38335144.51893456
88,77304222.1942065,-41145219.74756777
89,72637197.62090136,-38282530.122078106
90,72625835.34416014,-38259805.56859547
91,73506818.4750926,-39224570.105585456
92,70619880.8967469,-38399140.76099289
93,77130842.1612495,-48653935.16324998
94,77082897.21489763,-41386732.67902253
95,74851955.09173834,-39975172.78128385
96,71094527.50548859,-39852715.60478042
97,76522042.55866966,-60455521.04080252
98,70271861.24434805,-38771738.95889994
99,76115100.52762167,-42728206.69737077
