,0,1
0,90248390.61759844,-35098110.8933769
1,81735748.61209871,-32722364.603193793
2,85282462.89937302,-42869682.44988255
3,78508900.25713246,-36394271.758028865
4,82761188.02797966,-38928761.02187873
5,80616121.67783956,-37035327.34076169
6,83901874.83961688,-41773424.07622507
7,85058620.23755679,-42668348.522023715
8,85241335.22528832,-42754965.36095188
9,85041918.85114928,-42802160.15676124
10,78098913.02492425,-37152472.263555676
11,82553866.28248276,-40141455.05329208
12,80159486.75089848,-39272339.43761679
13,80578223.1392248,-39521684.18819853
14,83936417.65764907,-44418528.29283572
15,77562010.69077688,-37243467.67179872
16,80553552.30654478,-39564996.01806878
17,78198880.33166434,-39372142.54130699
18,80062503.6245198,-39412981.86040647
19,82857388.7842474,-45061491.137169994
20,77384149.35798548,-37994015.12461019
21,77693093.55499452,-40856551.961406045
22,80072419.37618244,-42845925.918839514
23,82019116.71829042,-44661638.1033835
24,79877276.3118868,-41044073.23176438
25,79950349.48323146,-41997580.583284155
26,82306966.46035366,-44950526.24469054
27,82104289.64787449,-44910717.082843356
28,82717624.81673214,-45627928.81261479
29,71301077.47242615,-38983135.920410685
30,75548034.2889844,-40449439.38050394
31,81476558.47396477,-44994251.88912719
32,79866465.50459647,-42033091.249090984
33,77968976.06992418,-41895573.238270946
34,78127933.98126742,-41995293.052693345
35,79689459.43902966,-42008938.88425618
36,82385745.00220437,-45185819.32965262
37,81881180.8362097,-45107306.296456285
38,82635007.88477376,-45738490.32575432
39,58598066.67213565,-40004987.566669494
40,79836760.18031298,-42114163.20611111
41,75184437.8168149,-40669353.09382001
42,81406794.15016887,-45040342.54526699
43,70977010.12754726,-40508314.288262956
44,62630200.342676565,-40396912.24001365
45,59986411.66444351,-40283736.44721107
46,81655538.35700472,-45346547.33862052
47,81981939.8547487,-47312700.55852845
48,62620360.8370889,-40449548.020396665
49,72708029.96069515,-41712099.390779674
50,79829626.73891726,-42156527.19071282
51,80769413.71345116,-45191836.803136975
52,81855830.15714504,-46797053.547182105
53,81359952.77130027,-45326077.03501408
54,81284231.4651151,-45239007.21104365
55,81328160.42772725,-45266980.10333836
56,81435033.2175738,-47389549.48356158
57,65287151.10631277,-42240395.91846255
58,81313502.05770014,-45274366.86238248
59,77113306.06631933,-42472135.978094734
60,79762904.96957043,-42694206.179327376
61,65422708.15881044,-42346881.78844418
62,81344077.73706575,-47972797.637361325
63,64049556.586609244,-42705059.12130123
64,80215319.56622885,-45967507.442802034
65,76225290.60145625,-42725230.95142083
66,79709759.24016991,-42757905.86841302
67,81081991.02829728,-47725505.774923414
68,79709759.24016991,-42757905.86841302
69,79099737.51435637,-45066218.37707783
70,58522804.9566457,-42997080.73651156
71,78680907.89636862,-43799335.60799492
72,58562527.973633304,-43052927.19682014
73,78892165.61905129,-44818491.252781525
74,78811335.4107585,-44251003.97371102
75,78721374.56179538,-44116876.41934282
76,78941871.59555732,-45046545.88177299
77,78810950.50441046,-44250368.235114865
78,78811335.4107585,-44251003.97371102
79,79030043.29285575,-47710900.900601655
80,56478315.84320578,-43134275.39015966
81,67388394.11091602,-43859391.861613885
82,78934025.67685351,-45054185.76760541
83,78668403.90112606,-43958252.65563197
84,78996476.15847664,-47650586.44877617
85,78392740.10113509,-47441016.13401964
86,58151801.09986099,-43955776.14448367
87,75170726.34927529,-44025527.84597539
88,78304120.5627355,-44882641.51083515
89,76555947.34965704,-44207634.252371095
90,78234851.81920935,-44520165.202732176
91,72678625.524098,-44154396.033043444
92,78317667.08063814,-48798791.085047275
93,78219561.8176476,-44524784.15141839
94,76231263.56738615,-44429925.823551625
95,71029937.65175058,-44161025.11556121
96,77345708.14212513,-49194692.986812584
97,75164769.50560583,-44636791.09590275
98,71075786.90602718,-44231072.98011936
99,77337349.78638095,-46588279.799642876
