,0,1
0,88018140.85717352,-28041118.070083182
1,84997801.24826176,-26779577.147791423
2,87638121.66745925,-26851132.382314123
3,87621055.01201648,-26782395.614021987
4,85447214.48891805,-27118383.796400625
5,86437980.63127731,-38433986.56946546
6,86014729.49680983,-27851007.952265874
7,86031358.62177299,-38343757.38969559
8,86127641.70241067,-38368512.48905852
9,86057415.5779081,-38344179.78275527
10,86031789.93058248,-38343971.0500496
11,85394582.44023032,-27142860.65651036
12,86123784.4839601,-38375169.58090875
13,85950002.64607096,-27927435.968822774
14,85414726.58690928,-27145871.011722036
15,85414582.41687047,-27146624.95520422
16,86076403.88918006,-38444893.23693184
17,85540502.94337735,-37611857.46446696
18,85894688.73101357,-38303933.36434964
19,85414543.90740383,-27146818.037324645
20,85591311.96649742,-39274195.0200863
21,85308223.17798364,-27205168.269628618
22,84478706.7262398,-27149784.16365928
23,84506072.3769308,-27154889.34295637
24,85251964.09990081,-27359466.662084755
25,84407853.00394596,-27185384.36447644
26,84669603.65057178,-27276548.174710706
27,84778602.78755014,-38720196.949788705
28,84527454.35174301,-27276760.693479575
29,84607577.0969135,-27345285.616227306
30,84443096.59068407,-27335158.150085423
31,84337614.52805294,-27434855.38507409
32,84128602.51183914,-40432890.905642495
33,81642680.61270411,-28080426.078304395
34,84077113.10811932,-32940675.461872585
35,82488682.8859915,-30332201.791188765
36,84007354.2466106,-32971208.614836276
37,81602054.60587694,-28246333.957562275
38,81751903.08832799,-32109241.1331326
39,81608160.32076876,-28275905.74131606
40,83929047.33847296,-39972252.98042325
41,81589636.40499122,-28268944.07032991
42,81723074.13120212,-32787899.24884215
43,82970854.69609141,-37685113.91845889
44,83410634.85251927,-39741121.29201732
45,82191499.67803438,-36002244.16951136
46,82433596.19740428,-36277321.60815968
47,83905522.60706094,-40927709.82545178
48,69614268.52884431,-28714118.37108381
49,77073764.68100004,-30266635.718110494
50,79566133.05418497,-30917923.64719807
51,81767324.41200043,-36163012.329510994
52,81284463.78568897,-32942654.32842385
53,81234148.31287377,-32891158.785599507
54,83101834.4604419,-39892227.06397921
55,81969943.59172902,-36193107.071639374
56,82666586.10351087,-37962090.98669669
57,82669576.72206634,-37980285.884439446
58,83775753.69587682,-40250785.434423864
59,83701132.88656598,-40002823.59464169
60,82262977.6084998,-39034216.97135569
61,69578757.64491752,-28803268.62306898
62,76492349.4335635,-30609365.502775304
63,78988470.48376311,-36036013.49149616
64,76844646.16774385,-32312353.35883545
65,81079381.99416214,-36313409.25340015
66,77482412.84390701,-34775532.42348379
67,77482482.20119378,-34775738.480537735
68,81466312.17622325,-37020452.56274165
69,76598964.10559355,-31829167.881726094
70,81899228.66157028,-38304211.864677876
71,81571575.30658367,-37593803.093264736
72,82036692.19977383,-38848809.902317986
73,76605031.16895865,-31944098.433505345
74,81555486.01850198,-37561632.458842166
75,82027719.28738008,-38330508.94836366
76,68276630.20666924,-30105357.508307546
77,81957239.23119593,-38380863.91461838
78,76491453.42939855,-30610030.646788206
79,76760624.63578942,-32342727.838725913
80,76802469.80862288,-35533275.40789434
81,78833410.98682484,-36074553.14081119
82,81078608.46985696,-36314671.12719733
83,81263551.88334389,-37342901.54855387
84,81522982.50648205,-37675312.89629448
85,68181104.41605045,-30353599.278571464
86,81956349.96175455,-38414568.96185871
87,76112264.80592383,-31527645.26679588
88,76759666.95997004,-32343472.364518385
89,68682603.05606969,-30752631.04193496
90,78697859.72911702,-36125492.00449204
91,78834285.58642617,-36518295.1021972
92,79886630.66227402,-36541781.199932486
93,81402733.45067848,-37809123.758337736
94,80470498.06341544,-36631027.35800856
95,80560608.24713774,-37058923.35312814
96,81071425.9018858,-37449742.82679682
97,80787572.58764683,-37192319.50459245
98,81189982.19559838,-37647956.51702076
99,81235690.18630281,-37743674.94333435
