HubPrices,NodePrices,WindPower
23.19,22.896452909472842,18.21
25.22,24.93527747702386,24.6
24.25,23.96638054796774,10.13
24.37,24.08821899954087,5.56
23.56,23.28079283174325,7.89
23.39,23.10454209639461,15.91
23.67,23.376452909472842,8.08
23.86,23.569026741675223,5.28
24.28,23.988291361045974,10.41
25.11,24.818659051360598,11.94
25.81,25.521232883562977,17.57
25.87,25.580129812619102,27.54
26.4,26.10829136104597,34.17
26.25,25.95645290947284,44.3
25.69,25.391305245068082,16.16
25.15,24.853143696641208,3.69
24.97,24.67461445789971,5.09
26.31,26.020497502933726,3.88
30.78,30.489762122304477,0.5
27.92,27.635277477023863,6.12
28.92,28.63307133513611,3.04
26.99,26.70343902545073,0.58
25.17,24.88454209639461,4.16
25.01,24.7186590513606,7.14
23.64,23.3486590513606,0.35
24.33,24.142715410399713,5.47
22.99,22.7001298126191,0.44
22.62,22.330129812619102,0.0
22.91,22.61939443198985,0.0
24.06,23.766820599787465,12.07
39.42,42.480156269175346,7.89
25.1,24.808291361045974,0.89
25.1,24.81049750293373,13.35
26.78,26.49123288356298,0.12
27.22,26.934174406079983,0.0
28.11,27.82638054796774,0.24
27.9,27.61711592859699,0.0
27.17,26.88748361891162,0.0
26.87,26.586748238282368,0.0
26.9,26.616748238282366,0.0
26.95,26.666748238282366,0.0
27.51,27.227115928596994,0.0
28.13,27.860352779923524,0.0
28.09,27.824397373384407,0.0
27.17,26.89814663803577,10.69
28.19,27.95896026295924,5.47
25.34,25.064102044574884,0.0
24.88,24.604837425204135,0.0
22.81,22.533734354260258,0.0
26.06,25.876392313545974,0.27
22.28,22.001528212372502,4.07
22.38,22.102631283316377,0.19
22.88,22.593071335136106,17.44
23.02,22.741895902687126,11.82
23.84,23.558586689855495,0.49
24.37,24.083439025450733,3.6
25.3,25.030352779923525,1.55
26.47,26.2014558508674,0.54
26.0,25.71564516733849,13.86
25.14,24.854909786709236,11.18
24.01,23.72049750293373,17.44
23.59,23.29314369664121,12.46
23.74,23.45564516733849,19.61
22.93,22.64270364482148,17.44
23.09,22.789099103180323,24.21
26.28,26.42951973859701,30.12
26.67,26.994172638044294,48.37
30.75,32.71590989284878,76.04
29.71,31.1530542654508,184.89
25.14,26.19881788666677,198.6
20.99,20.247870725629287,198.6
19.83,20.227343010654838,198.6
23.32,25.330400420918508,198.6
22.61,22.91247890948137,198.6
20.69,21.037337127865722,198.6
22.11,22.833116629413354,198.32
35.57,39.07763538207502,197.97
23.03,23.32255127098647,160.3
24.37,24.728735527619126,153.96
25.08,25.305999324039185,197.8
25.8,25.966801183384426,196.85
27.67,27.335271594234747,103.65
25.28,24.960346897134407,74.43
31.36,31.03924382619053,51.09
29.0,28.693583748460938,22.68
27.65,27.346525270977942,10.97
26.64,26.34240831601196,2.01
26.61,26.31130524506808,0.4
26.21,25.91056986443883,0.25
26.28,25.98314369664121,0.08
44.63,44.310714587449034,0.35
29.88,29.573951438775563,14.37
30.6,30.28512687122454,68.88
28.59,28.265199232729643,83.75
36.93,40.187238277814814,17.57
26.5,26.63701826789973,37.3
26.38,26.58540866642014,49.36
25.75,25.78553574106299,90.81
25.09,24.97772423458339,99.8
25.99,26.206071685544288,72.83
26.25,26.56828959301028,52.32
26.04,25.819255591768762,76.36
21.99,21.65306545234699,190.85
28.6,28.252034742908215,196.94
24.15,23.793210175357192,155.98
24.18,23.811444085289164,131.81
22.57,22.218357839761957,198.6
21.54,21.182107104413316,198.6
20.28,19.93865316857148,198.6
19.94,19.596447026683727,198.6
20.27,19.924240884795967,198.6
19.75,19.406447026683725,198.6
