hedgetargets,DeveloperProfits,ratio,,,,,
"[107.80631092736013, 97.54754811555803, 106.35559249530856, 111.10077583360552, 39.42781774328152, 111.05273872938626, 74.35900892127015, 129.14930926993563, 89.99884254325809, 75.10435971534224, 109.25813199812092, 121.76473611247367, 110.21557187486147, 103.6297758077722, 106.03075411949447, 63.05542254018419, 100.42805214511331, 139.29112507124023, 76.18672966917406, 178.94467358183238, 119.26882144866445, 101.90770982313805, 138.57060776605252, 121.75147857149469]",-15443734.47,1.940129491,,,,,
"[77.15648155116065, 90.53853504690844, 70.7515958692077, 90.22608149182746, 68.92357669402611, 101.54750124420498, 74.45199609389036, 143.58572165845908, 81.11923157460714, 65.18831315298999, 85.30021038360935, 123.18165100213864, 81.46569706992766, 108.41823961990981, 108.77277922131519, 78.73119317515551, 136.97084857265628, 146.01280646327226, 54.04360861560932, 136.10577225286704, 123.99736021930434, 164.21087592077814, 102.78090898915951, 130.24979458695427]",-14900541.17,1.921717478,,,,,
"[77.26648661938827, 91.50203191547953, 82.20424209724311, 70.93626229030623, 73.8379740115173, 93.94673383626484, 81.13408354470019, 137.04973804752544, 86.89212468243016, 98.89232070085828, 96.46423912690453, 129.7919517735526, 110.48756168137525, 124.84733512322687, 107.4958223764331, 73.70579888401448, 136.70334105765014, 139.92818824114968, 52.60208511841083, 133.88628760739462, 100.61496943520149, 94.651677663921, 100.9499607632083, 141.8900662825768]",-14402092.8,1.899195883,,,,,
"[77.17675482274078, 90.53853504690844, 76.68704184000563, 90.22608149182746, 68.98461206452171, 101.54750124420498, 74.75605578137373, 143.58572165845908, 68.26464680635065, 65.02100101919339, 82.96539726307167, 190.96851303489245, 81.46569706992766, 103.99705422476252, 121.79419410660444, 66.77009578239387, 107.21677821588915, 128.60183009657072, 52.24376970249358, 131.56823815247105, 123.99736021930434, 105.36539776678889, 102.34273630944396, 125.58541641207357]",-14279062.45,1.848042467,,,,,
"[82.08439330540284, 56.378206664760384, 88.28402434324302, 93.97607988994143, 78.08603050992652, 104.93400335956582, 40.81625736587909, 143.61530509433007, 77.40347448841084, 70.57105915219415, 90.0476404109391, 129.87287882417363, 99.12247384798155, 122.71386324546208, 106.10233539443033, 62.51801660154548, 39.459654379508265, 133.00798522090906, 99.23773626951932, 136.2801795866693, 123.41681595096212, 99.15968820284326, 100.3604606733032, 154.56566384645248]",-13392931.07,1.833079371,,,,,
"[103.6836319125428, 90.53853504690844, 93.7433522307976, 90.22608149182746, 68.51163896342875, 101.54750124420498, 73.70990627026788, 143.58572165845908, 67.50957413723603, 75.28840228845291, 82.96539726307167, 123.18094041889283, 99.30736804384517, 111.54340913546801, 78.57603095062181, 66.14086351776072, 107.21677821588915, 126.97826609786468, 55.85566839930681, 136.04239921342344, 123.99736021930434, 105.3687170230338, 102.78090898915951, 130.24979458695427]",-13028385.09,1.821155978,,,,,
"[77.17675482274078, 90.53853504690844, 70.88071652783938, 90.22608149182746, 68.92357669402611, 101.54750124420498, 74.45199609389036, 143.58572165845908, 67.50957413723603, 65.02100101919339, 82.96539726307167, 123.18165100213864, 81.46569706992766, 108.41823961990981, 77.04019196381296, 66.14086351776072, 107.21677821588915, 126.97826609786468, 52.24376970249358, 136.04239921342344, 123.99736021930434, 105.36539776678889, 102.78090898915951, 130.24979458695427]",-12420703.91,1.78519157,,,,,
"[91.8389574591068, 99.55494294747548, 93.94541609131537, 105.82204755995754, 75.33639444150383, 100.90321604049765, 97.53653828265293, 99.3427297074126, 90.14776473925613, 75.7009070122262, 97.20899699224971, 123.22670473064454, 97.32962847485955, 113.99549628683876, 106.62618018987077, 63.189409767723966, 109.38922766391815, 116.71603771539961, 111.63448545530204, 134.68457966394107, 99.44040249253558, 106.38676916224645, 100.4129511045636, 101.76545465336076]",-11954216.52,1.736586077,,,,,
"[91.8389574591068, 99.55494294747548, 72.45024484869086, 105.82204755995754, 75.33639444150383, 100.90321604049765, 98.2786281062754, 99.3427297074126, 90.14776473925613, 65.43350574296667, 97.20899699224971, 123.22741531389035, 72.88745599186478, 113.99549628683876, 105.09034120306198, 63.189409767723966, 109.38922766391815, 116.71603771539961, 107.9720882453444, 134.68457966394107, 99.44040249253558, 106.38344990600156, 100.4129511045636, 101.76545465336076]",-11569299.34,1.715183658,,,,,
"[88.28246588019663, 68.48371242585011, 75.63156186693719, 91.85174302743786, 68.87941199003411, 101.50729536656267, 72.01205220103819, 103.59187319015086, 80.40977989434222, 70.74760083781233, 54.810988058894644, 92.70241551154483, 97.61399296030356, 107.43797576328399, 95.80757403011252, 83.17125414593866, 109.29322451726641, 127.14165972860981, 72.55005194692978, 88.97787787100359, 124.1680011056149, 122.37994509889839, 116.84805250983428, 179.90835801708948]",-11122286.9,1.683415215,,,,,
"[77.17675482274078, 92.85184306963576, 70.88071652783938, 88.3083782289637, 68.51210289336319, 127.38306679818083, 74.45199609389036, 143.58572165845908, 67.50957413723603, 65.02100101919339, 82.50798584357973, 70.46558534065339, 147.89228191399812, 108.41823961990981, 77.03566309344404, 66.34644277004458, 47.89807936086625, 139.77292483667128, 52.24221691033929, 136.23225196292998, 124.02178414830686, 105.36539776678889, 54.0457019842363, 103.05506386016583]",-11080338.04,1.666123316,,,,,
"[102.96536384618898, 60.854724706752094, 27.532868918625073, 114.27796195792571, 74.74509982524397, 101.42332540330321, 13.801347667247544, 97.97363409413106, 96.14646853016035, 60.789228286399116, 61.91706789218676, 69.06811874233927, 97.19329833588986, 109.21593221972668, 106.6846162344021, 62.09356093803059, 45.64858910925959, 128.84330699207342, 99.27476455994993, 137.60934240144545, 100.2258678110274, 121.81709677732152, 104.0915917648903, 151.2524334172867]",-10599911.63,1.646123489,,,,,
"[77.17675482274078, 92.88308934273138, 70.88071652783938, 88.3083782289637, 68.92002435453617, 100.35966519828902, 74.45199609389036, 143.58572165845908, 67.50957413723603, 65.02100101919339, 82.50798584357973, 70.46558534065339, 147.89228191399812, 108.41823961990981, 77.03566309344404, 66.3496888930979, 47.89807936086625, 139.7814296850416, 52.24376970249358, 136.23225196292998, 124.022475098418, 105.36539776678889, 54.0457019842363, 103.05506386016583]",-10516294.3,1.641742412,,,,,
"[81.87249523849944, 45.701075261521915, 77.44928106902576, 91.83801249484151, 15.79217764564071, 42.438191250012125, 85.23417538364887, 99.29495346088225, 70.7436147232625, 110.48583935536988, 108.28169957724299, 123.04178487002409, 94.50819534538833, 104.9622385950614, 86.11072804266911, 64.13726383981587, 104.57960352403681, 117.28493353295818, 72.41560869347371, 128.40684931986365, 127.07424809028119, 69.04967037003333, 106.18742542914687, 142.2177237151855]",-9234834.482,1.576056539,,,,,
"[38.41767372016693, 45.701075261521915, 77.540746015885, 91.83801249484151, 11.865450075208521, 42.438191250012125, 85.23417538364887, 99.29495346088225, 70.69095391648597, 110.48583935536988, 108.28169957724299, 123.04178487002409, 93.76036964221184, 104.9622385950614, 86.11072804266911, 64.13726383981587, 104.57960352403681, 117.28493353295818, 72.41560869347371, 128.40684931986365, 122.98284932102733, 69.04967037003333, 106.18742542914687, 142.2177237151855]",-8961509.855,1.557936067,,,,,
"[88.13565680831087, 93.93742415990542, 88.96757556438955, 90.30025768133805, 70.44456738013041, 99.45773106874145, 96.28556245446111, 103.5294139241881, 71.92113970543316, 60.20776356271125, 55.443126016639305, 73.20127269858635, 83.35365383458621, 118.09518311786876, 95.14326794655906, 75.64444588627661, 131.0882423475246, 127.52913474784417, 93.72421715224193, 80.47535589382782, 120.82777929558237, 97.0634293267564, 100.59984113304142, 106.87362140537195]",-8496312.557,1.527498291,,,,,
"[84.58137940970099, 69.51580201429168, 75.63156186693719, 91.81269604366469, 68.90215129430283, 49.247867125000084, 69.5702421969696, 98.10586386865921, 74.42143035213954, 71.26637475591349, 47.350151574487796, 92.70241551154483, 94.17481816349039, 107.57428949133433, 74.08076108776609, 36.67003469185494, 109.39443867626281, 127.1626035868403, 72.00949007399043, 88.97787787100359, 86.59543209954225, 120.96645566646461, 117.28337723945747, 127.88422846873081]",-6949647.98,1.442502593,,,,,
"[88.13565680831087, 56.01622973682423, 88.23424110737129, 90.30025768133805, 70.44456738013041, 99.53084109183627, 44.119304585611076, 103.5294139241881, 71.92113970543316, 60.20776356271125, 51.11152474908327, 73.20127269858635, 83.35365383458621, 118.09518311786876, 95.14326794655906, 61.59280803618198, 42.670696603192084, 126.54635877193869, 93.72421715224193, 80.47535589382782, 120.82777929558237, 97.0634293267564, 100.59984113304142, 106.769648349641]",-6603439.477,1.420822975,,,,,
"[88.13565680831087, 56.18254568689277, 88.23424110737129, 90.30025768133805, 70.44456738013041, 99.53084109183627, 44.119304585611076, 95.723366850044, 71.92113970543316, 60.20776356271125, 51.11152474908327, 73.20127269858635, 83.35365383458621, 118.09518311786876, 60.382539339253725, 61.60064548228542, 42.670696603192084, 126.54635877193869, 93.72421715224193, 80.47535589382782, 120.82824128479518, 97.0634293267564, 68.58578215102352, 106.769648349641]",-6088936.218,1.388758381,,,,,
"[88.79673368060176, 47.44436112011573, 88.10734547909074, 87.5758485117837, 77.51079917566372, 47.092789066585254, 71.9941122021342, 127.89764863112535, 72.10113034525797, 73.36415961198801, 113.21128895234594, 76.03951679334781, 96.45609240185449, 105.58534887813005, 77.04133642654084, 38.57644348200761, 134.15469686979958, 128.2580161429295, 96.4242712046798, 92.78025964915045, 120.20906252232324, 70.46437068359207, 62.71956023034002, 106.89508461883214]",-5629445.666,1.354737634,,,,,
"[59.59080739803082, 47.278045170047186, 88.10734547909074, 92.02157382505163, 77.51079917566372, 47.092789066585254, 50.57576215734969, 103.51051989169692, 72.10113034525797, 73.36415961198801, 113.21128895234594, 65.5935392613435, 96.45609240185449, 105.58534887813005, 95.23692131513704, 38.568606035926365, 134.15469686979958, 128.2580161429295, 67.4986257165662, 92.78025964915045, 120.20860053311043, 69.04967037003333, 100.04419167295254, 120.4568392239]",-5201961.477,1.333269675,,,,,
"[59.59080739803082, 47.44436112011573, 88.10734547909074, 92.02157382505163, 77.51079917566372, 47.092789066585254, 50.57576215734969, 95.70447281755281, 72.10113034525797, 73.36415961198801, 113.21128895234594, 76.03951679334781, 96.45609240185449, 105.58534887813005, 77.04133642654084, 38.57644348200761, 134.15469686979958, 128.2580161429295, 67.4986257165662, 92.78025964915045, 120.20906252232324, 69.04967037003333, 68.03013269093279, 120.4568392239]",-5030684.457,1.324084149,,,,,
"[38.63350526531694, 47.44436112011573, 88.10734547909074, 87.5758485117837, 77.51079917566372, 47.092789066585254, 71.9941122021342, 95.70447281755281, 72.10113034525797, 73.36415961198801, 113.21128895234594, 76.03951679334781, 96.45609240185449, 105.58534887813005, 77.04133642654084, 38.57644348200761, 134.15469686979958, 128.2580161429295, 72.21841822182456, 92.78025964915045, 120.20906252232324, 69.04967037003333, 62.71956023034002, 106.89508461883214]",-4518843.969,1.29344398,,,,,
"[38.63350526531694, 47.44436112011573, 88.10734547909074, 87.5758485117837, 77.51079917566372, 47.092789066585254, 71.9941122021342, 95.70447281755281, 72.10113034525797, 73.36415961198801, 113.21128895234594, 76.03951679334781, 97.40742725452628, 105.58534887813005, 77.04133642654084, 38.57644348200761, 134.15469686979958, 128.2580161429295, 72.21841822182456, 92.78025964915045, 120.20906252232324, 67.62808311733497, 62.71956023034002, 106.89508461883214]",-4500045.853,1.292134624,,,,,
"[39.87511019752128, 47.44436112011573, 88.22612839388198, 91.58167646011944, 77.51079917566372, 47.092789066585254, 17.004071106208777, 98.04340460269647, 72.10113034525797, 72.40776101986609, 4.554818723211088, 54.74820399143088, 104.84644572432077, 123.61492337920055, 77.04133642654084, 45.24341824453026, 134.15469686979958, 89.46533247554709, 79.58065883614925, 92.5820532832208, 115.1271501734507, 69.04967037003333, 104.92526088400984, 139.89303046223813]",-4132475.421,1.262984689,,,,,
"[84.17658976151128, 47.0799107925196, 84.30005755974075, 70.75233072736404, 43.51637544253376, 41.11393315664046, 43.51532802767572, 97.95279878440081, 71.95001391245762, 73.79128195033772, 68.23735588132737, 87.43479160222233, 97.40878598470692, 123.55297829282284, 81.9119721691703, 33.76523129632447, 136.77848873153005, 132.983714818405, 2.4864072431869673, 62.08708083748629, 127.15903065047432, 67.08479625803221, 104.95278374235517, 108.93739567841213]",-3943970.505,1.249183746,,,,,
"[10.014769399570767, 47.44436112011573, 88.22612839388198, 88.18767263407831, 77.51079917566372, 47.092789066585254, 17.004071106208777, 98.04340460269647, 72.10113034525797, 73.35565266187427, 4.554818723211088, 54.74820399143088, 104.84644572432077, 123.61492337920055, 77.04133642654084, 38.57476505733305, 134.15469686979958, 107.71912962987675, 79.58065883614925, 92.5820532832208, 115.1271501734507, 69.04967037003333, 104.92526088400984, 106.89508461883214]",-3516360.794,1.226878651,,,,,
"[84.66806748652695, 45.452620407430345, 89.13833195665045, 64.66344908174786, 42.10203650771048, 38.85931919637945, 39.42208656412125, 98.28787448277147, 59.84691275199606, 70.86638026015741, 82.46168211987366, 73.20127269858635, 97.76757556094677, 93.82661096682469, 63.79984528496224, 38.41906992800307, 51.335359489530575, 125.55035452516222, 98.78012265952046, 89.133414737192, 47.152171350903, 89.66565480028508, 104.65608408943402, 98.47626576977278]",-2954242.915,1.202412588,,,,,
"[64.15772148240606, 47.44436112011573, 71.17117442614618, 88.18767263407831, 77.51079917566372, 47.092789066585254, 17.004071106208777, 98.04340460269647, 71.7939835640679, 73.35565266187427, 67.63814936726133, 87.76971671666519, 104.84644572432077, 82.94838439607705, 77.04133642654084, 40.95562748268163, 134.15469686979958, 74.17205804066718, 72.21841822182456, 92.5820532832208, 115.1271501734507, 69.04967037003333, 104.92526088400984, 106.89508461883214]",-2415731.669,1.165476604,,,,,
"[29.901700769874743, 45.61379182778764, 53.842268081737934, 64.66344908174786, 42.10203650771048, 36.886812137232084, 39.42208656412125, 92.77140717320195, 59.84691275199606, 70.86638026015741, 83.77810213591673, 73.20127269858635, 96.48769551200022, 93.82661096682469, 63.79984528496224, 32.96446854224229, 51.335359489530575, 125.55035452516222, 73.86264517095805, 89.19604253950902, 48.049770443457064, 89.67254173942472, 66.33056532859672, 98.47626576977278]",-1913600.889,1.139850246,,,,,
"[29.901700769874743, 45.61379182778764, 53.842268081737934, 64.66344908174786, 42.10203650771048, 36.886812137232084, 39.42208656412125, 92.77140717320195, 59.84691275199606, 70.86638026015741, 82.46168211987366, 73.20127269858635, 97.0864779607655, 93.82661096682469, 63.79984528496224, 32.96446854224229, 51.335359489530575, 125.55035452516222, 73.86264517095805, 89.19604253950902, 48.049770443457064, 88.25095448672636, 66.33056532859672, 98.47626576977278]",-1886820.2,1.138437428,,,,,
"[84.17658976151128, 23.639961364268007, 84.30005755974075, 71.01094887081777, 43.51637544253376, 41.11393315664046, 70.27400030913466, 97.95279878440081, 71.95001391245762, 76.37681666353728, 68.23735588132737, 87.50375469886009, 97.40878598470692, 70.73553613713598, 81.9119721691703, 33.76523129632447, 107.77644094640227, 132.83446002601946, 1.3508698198736533, 74.88072895259035, 127.15903065047432, 27.359956673070393, 62.412636153384845, 108.98817587796859]",-1338223.238,1.088335025,,,,,
"[84.17658976151128, 23.639961364268007, 82.69275727500437, 71.01094887081777, 43.51637544253376, 41.11393315664046, 70.27400030913466, 97.95279878440081, 71.95001391245762, 76.37681666353728, 68.23735588132737, 87.50375469886009, 97.10954051945835, 70.73553613713598, 81.9119721691703, 23.027530906603864, 107.77644094640227, 132.83446002601946, 1.3508698198736533, 74.88072895259035, 100.14306750238907, 27.359956673070393, 62.412636153384845, 108.98817587796859]",-974841.1786,1.061860607,,,,,
"[84.17658976151128, 23.639961364268007, 84.30005755974075, 71.01094887081777, 43.51637544253376, 41.11393315664046, 43.51532802767572, 97.95279878440081, 71.95001391245762, 59.654931511183285, 68.23735588132737, 87.50375469886009, 97.40878598470692, 70.73553613713598, 81.9119721691703, 33.76523129632447, 40.7190600188619, 132.983714818405, 1.3508698198736533, 62.08708083748629, 127.15903065047432, 27.359956673070393, 62.412636153384845, 108.93739567841213]",-284394.7707,1.027506333,,,,,
"[91.48322753543707, 13.675005678366475, 42.95837249098004, 70.96419837155709, 43.51637544253376, 41.11393315664046, 43.51532802767572, 97.95279878440081, 71.95001391245762, 60.67714715548187, 68.23735588132737, 87.50375469886009, 97.40927558251053, 71.0325343332674, 81.9119721691703, 33.76523129632447, 40.7190600188619, 132.983714818405, 1.3508698198736533, 62.08708083748629, 117.92526060240853, 27.359956673070393, 62.412636153384845, 47.13511677254068]",1461464.403,0.924055743,,,,,
"[80.96055654188828, 23.639961364268007, 84.30005755974075, 71.01094887081777, 15.706190932297368, 40.22158581922281, 14.451292755162843, 97.95279878440081, 71.95001391245762, 59.76353437463924, 68.23735588132737, 71.56903810523265, 99.69289116241646, 70.6851141698075, 82.19490577762471, 33.76523129632447, 40.7190600188619, 84.99193559991124, 1.3508698198736533, 62.08819987069018, 127.15903065047432, 27.359956673070393, 62.412636153384845, 108.93739567841213]",2062987.662,0.903411021,,,,,
"[7.72979034828079, 8.190871486399963, 34.78849878178739, 64.63071844298719, 13.034101390114502, 41.2910467744694, 13.778191770159811, 36.92154560895116, 39.95242791177077, 45.53927610852402, 51.80674425654958, 67.81265507944055, 94.2922986261716, 117.5889462916533, 78.59242580708623, 19.753727251222344, 43.43949239626441, 105.83027180172279, 6.474115997482888, 89.59717298122594, 88.12658554208406, 35.595095812115346, 55.78491337777531, 95.18910522384812]",2351153.887,0.871203269,,,,,
"[91.88567201514587, 13.767251541235403, 45.95042600368306, 64.58991922691219, 2.627303062088762, 50.42576296170179, 41.860233221290194, 32.60266740890125, 8.323941536258486, 51.76770885304862, 3.2228179440459925, 48.77028810080546, 23.418819976760744, 68.60091650297353, 74.03776832577026, 33.771627304120024, 39.738206460151254, 126.52938390166871, 1.9268308787580875, 87.90856598211603, 0.6743251447748904, 118.89374431702052, 117.15008973884184, 48.36631773425529]",2649751.076,0.843938295,,,,,
"[10.398967169634961, 12.56833804764307, 73.59691142494849, 71.02100091127285, 40.36106412480077, 41.2910467744694, 14.153785950747395, 47.07741085202504, 39.736868259797504, 52.28126334608951, 51.80674425654958, 67.80866798397967, 89.23562196057074, 66.84933848839572, 76.588718336689, 35.6382264378047, 42.43866361525869, 130.4321425804682, 2.083580728791283, 79.15329253544871, 88.88614730143391, 39.01701741193574, 60.84960805765989, 51.45424438123021]",3284123.763,0.830825928,,,,,
"[10.398967169634961, 12.56833804764307, 65.7288314778119, 63.02160027433477, 40.36106412480077, 41.2910467744694, 14.203253780787318, 47.07741085202504, 39.736868259797504, 51.30702859170022, 51.80674425654958, 67.80866798397967, 89.23562196057074, 44.443326010039, 77.43103978787123, 36.58564543264988, 43.08023256663107, 130.40365759092643, 9.403719518913228, 79.15329253544871, 88.88614730143391, 39.471730100847594, 60.84960805765989, 51.45424438123021]",4046434.018,0.785892029,,,,,
"[80.96055654188828, 23.6160897847735, 83.23723316428708, 71.01094887081777, 24.048814091237055, 40.22158581922281, 14.451292755162843, 97.95279878440081, 8.881969752321005, 59.76353437463924, 68.23735588132737, 48.74572903128977, 99.69289116241646, 70.6851141698075, 82.19490577762471, 33.76523129632447, 40.703384835808905, 84.99193559991124, 1.3508698198736533, 62.08819987069018, 127.15903065047432, 27.359956673070393, 55.955343653079275, 49.226571314450894]",4296207.652,0.783079598,,,,,
"[25.490918696419328, 23.23817907706915, 73.02150962542437, 70.52585564777485, 9.983664961626825, 41.9418738745998, 71.3678481787055, 97.95279878440081, 41.84243630408656, 48.96340300768424, 2.8677671190978202, 73.69521811212583, 97.22801589537356, 66.54527820122499, 77.27849085091455, 33.76523129632447, 107.78251851457503, 52.97105776420466, 1.3508698198736533, 76.38300452285279, 137.20935468459643, 27.359956673070393, 62.0254089199059, 37.13062297142002]",4873146.163,0.745060563,,,,,
"[8.852076854169752, 13.791123120814996, 46.674248335967306, 64.59749583423205, 2.627303062088762, 50.42576296170179, 41.860233221290194, 39.452660476237156, 71.41583910319353, 51.29435909125588, 3.284345480355153, 71.59359717474939, 23.418819976760744, 67.61812405584023, 74.03852130594825, 33.67724389990267, 39.75388164320425, 82.75508289797268, 1.9268308787580875, 40.462787043939315, 0.9349462899241265, 36.12320385754068, 62.235826401231414, 108.07714231299478]",5585253.54,0.698624257,,,,,
"[53.54383135382322, 13.767251541235403, 72.67309955941295, 64.59898393691368, 10.268661319505394, 40.56742847239046, 70.91785153887729, 39.86803358311792, 93.30349390076633, 50.714435358721204, 107.014471734668, 67.82951836367363, 14.152467003343595, 60.038467916316314, 103.3241696842083, 29.12451060634308, 0.6443472275174009, 56.87825925556998, 1.745244819328469, 91.18400817512878, 88.17514067673804, 31.404742592014387, 62.26051649670062, 41.79193046864043]",6014672.967,0.677984044,,,,,
"[9.829306151292299, 13.767251541235403, 64.19631003408486, 64.59749583423205, 15.672237697657764, 18.279171018107956, 14.635055827749106, 38.93931037916351, 40.33040821718484, 51.24645791994022, 52.723500363032755, 71.41375794689625, 23.425848285696325, 67.61812405584023, 77.17549469889302, 36.54729501792683, 39.58114702733561, 82.75508289797268, 11.72851451415507, 51.53004384938055, 86.96280396987177, 36.12320385754068, 70.14674706471804, 44.85130172235206]",6850336.569,0.649249904,,,,,
"[9.829306151292299, 13.767251541235403, 64.09110964098552, 64.59749583423205, 16.04439890008301, 18.279171018107956, 14.635055827749106, 38.463265625514104, 20.125701367379676, 51.24708436585562, 3.284345480355153, 71.41375794689625, 23.425848285696325, 67.61812405584023, 77.17549469889302, 33.9776573259323, 39.70725902976533, 82.75508289797268, 11.72851451415507, 52.80773949539007, 0.9349462899241265, 36.12320385754068, 70.14674706471804, 44.85130172235206]",7322387.451,0.617669293,,,,,
"[8.852076854169752, 13.767251541235403, 45.611423938326695, 64.59749583423205, 2.627303062088762, 50.42576296170179, 41.860233221290194, 39.452660476237156, 8.323941536258486, 51.29435909125588, 3.284345480355153, 48.77028810080546, 23.418819976760744, 67.61812405584023, 74.03852130594825, 33.9776573259323, 39.738206460151254, 82.75508289797268, 1.9268308787580875, 40.462787043939315, 0.9349462899241265, 36.12320385754068, 55.778533900925844, 48.36631773425529]",7840971.365,0.590545507,,,,,
"[9.829306151292299, 13.767251541235403, 36.82618442801093, 64.59749583423205, 12.375858939493792, 18.279171018107956, 6.037172554483458, 38.463265625514104, 8.070026664127763, 51.24708436585562, 3.284345480355153, 58.061976301757696, 22.665240572281956, 67.61812405584023, 77.17549469889302, 33.18539030460614, 39.70725902976533, 82.75508289797268, 1.9256265144121474, 40.11943813411118, 0.9349462899241265, 34.97740397598192, 55.778533900925844, 41.17737227886976]",8394887.539,0.559801953,,,,,
"[53.54383135382322, 13.767251541235403, 72.67309955941295, 64.59898393691368, 10.268661319505394, 19.49725117068679, 70.91785153887729, 38.384055955059125, 93.30349390076633, 50.714435358721204, 0.4755543163893141, 66.910267408697, 14.152467003343595, 59.343001302320374, 78.43419796453614, 29.12451060634308, 1.1377539414853153, 56.87825925556998, 1.5411988088544701, 40.161742851200806, 2.4064853029847386, 31.404742592014387, 62.26051649670062, 38.7754648008826]",8794061.128,0.536412203,,,,,
"[9.829306151292299, 13.767251541235403, 38.12508461802594, 64.59749583423205, 12.379310019240044, 19.49725117068679, 14.174781253206149, 38.463265625514104, 8.315865171381619, 50.746119655649764, 0.4755543163893141, 48.447377360404836, 21.566438303606464, 59.343001302320374, 78.80237120870507, 20.470328980760918, 3.8865043004166235, 61.25956832021479, 1.5411988088544701, 40.14971843446358, 0.9349462899241265, 34.931030029179595, 55.80493608476959, 35.49712808534077]",10107835.89,0.473284127,,,,,
