hedgetargets,DeveloperProfits,ratio,,,,,
"[102.75091522003527, 146.2567309761524, 99.17173655040902, 160.3431149655415, 76.9774162212717, 147.05766482553906, 82.31127923073105, 171.99926009817779, 130.8877118225126, 154.14069954990785, 118.90851468405265, 138.35537083005696, 124.51268108634112, 184.8070101003398, 120.54596099731043, 97.52865178316213, 135.87860650963182, 217.00468737274355, 96.46952946503347, 203.4498408366996, 129.97758356907036, 176.30861215331902, 151.51731320621747, 184.56781778402754]",-33156637.32,2.783084836,,,,,
"[93.56873220827826, 135.13164919964842, 76.51683358330406, 144.59253144716354, 73.43883173672954, 128.43694923100355, 82.56904339940532, 171.99926009817779, 121.45810010132475, 126.71188697725022, 118.90851468405265, 191.44771427130337, 123.8271151418687, 170.9458307788527, 120.66518539983615, 100.86283289546103, 160.0931003709851, 205.93447384176886, 96.41163815614416, 203.42407544972167, 122.00072803812402, 175.86797094595087, 112.69100490929594, 202.2031615770358]",-32402357.48,2.772143678,,,,,
"[93.56873220827826, 135.13164919964842, 76.69540654745043, 144.59253144716354, 73.45808745250037, 128.43694923100355, 82.56904339940532, 171.99926009817779, 121.45810010132475, 121.16326731416014, 118.90851468405265, 191.44771427130337, 123.8271151418687, 170.9458307788527, 120.66518539983615, 100.86283289546103, 160.0931003709851, 205.93447384176886, 96.41163815614416, 203.4498408366996, 122.00770118822595, 175.86797094595087, 112.69100490929594, 202.2031615770358]",-32284774.94,2.768088982,,,,,
"[102.75091522003527, 146.1272848834582, 99.17173655040902, 160.3431149655415, 74.90097537163024, 147.05766482553906, 82.31127923073105, 171.99926009817779, 122.33192271251289, 115.98515724583326, 118.90851468405265, 138.1538934735067, 124.51268108634112, 170.9310087147902, 120.54596099731043, 97.52865178316213, 135.45257700730033, 216.20940535041686, 96.41241810335013, 203.4498408366996, 121.91186254382842, 174.6209366629998, 151.51731320621747, 184.56781778402754]",-31714273.45,2.744972429,,,,,
"[93.56873220827826, 146.187280711419, 76.70463226112001, 137.78679973733892, 74.90097537163024, 148.2676702333268, 82.31127923073105, 171.99926009817779, 121.48395208815901, 115.98515724583326, 118.90851468405265, 138.1538934735067, 132.63785250794263, 170.9310087147902, 120.66518539983615, 97.81515055458198, 135.443894904316, 206.78366471553446, 96.41163815614416, 203.4498408366996, 121.96526664600846, 176.30861215331902, 151.51731320621747, 184.56781778402754]",-30829832.73,2.718528736,,,,,
"[93.56873220827826, 146.187280711419, 76.70463226112001, 137.78679973733892, 74.90097537163024, 119.12822116916503, 82.31127923073105, 171.99926009817779, 121.48395208815901, 115.98515724583326, 118.90851468405265, 138.1538934735067, 124.23879301657246, 170.9310087147902, 120.66518539983615, 97.81515055458198, 177.57617774039045, 206.78366471553446, 96.41163815614416, 203.4498408366996, 121.96526664600846, 176.30861215331902, 151.51731320621747, 184.56781778402754]",-30329617.8,2.695042549,,,,,
"[93.56873220827826, 145.65637692957984, 76.70463226112001, 137.93244302396596, 74.90097537163024, 148.2676702333268, 82.29025933197556, 135.06641185769982, 121.48395208815901, 115.98515724583326, 105.81548364161655, 138.1538934735067, 132.59832751359107, 170.9310087147902, 111.09525071345804, 97.81515055458198, 135.443894904316, 206.78366471553446, 96.41163815614416, 199.40097277151767, 121.96526664600846, 176.30861215331902, 138.69365930028343, 184.56781778402754]",-29659483.35,2.665137901,,,,,
"[90.71052769482436, 129.82017446165025, 93.73022642273015, 135.35658907260486, 89.52973743601251, 137.33530872062997, 81.51664671432414, 171.69873476078286, 76.9641073111376, 125.31459928442298, 104.02097757282928, 137.26948738482395, 142.06909512791313, 158.36138661840164, 111.17145443385147, 114.7220732289284, 135.93667447342162, 209.22468457794847, 95.3276600902357, 184.3157264465466, 138.40737007017046, 150.49109378515797, 144.32429836675416, 175.00490305655245]",-28946307.56,2.647273855,,,,,
"[90.71052769482436, 129.82017446165025, 109.78058159993242, 135.35658907260486, 83.03354595426838, 137.33530872062997, 81.51664671432414, 171.69873476078286, 76.9641073111376, 125.31459928442298, 104.02097757282928, 137.26948738482395, 141.8536854890708, 158.36138661840164, 111.16847459574413, 114.7220732289284, 137.04930540844668, 209.22468457794847, 95.3276600902357, 184.3157264465466, 127.98546951444845, 150.49109378515797, 144.32429836675416, 175.00490305655245]",-28925577.88,2.645772602,,,,,
"[93.56873220827826, 138.38005154990458, 76.70463226112001, 137.78679973733892, 74.90097537163024, 102.03535411455692, 82.31127923073105, 131.22738548514866, 121.48395208815901, 115.98515724583326, 118.90851468405265, 138.1538934735067, 132.63785250794263, 170.9310087147902, 120.66518539983615, 97.81515055458198, 135.443894904316, 206.65873882959607, 96.41163815614416, 203.4498408366996, 121.39337573721136, 174.63260221203035, 150.30727463006346, 172.48902581156082]",-28368255.78,2.608581618,,,,,
"[75.9977977103667, 146.28322687535305, 93.35720878795179, 121.6757981534469, 75.17474917523724, 150.50800395981977, 89.36199984973761, 172.23042338554626, 90.21298391074761, 129.11073842201532, 97.25912573920648, 147.8152948830134, 97.09214023742842, 153.9898221620901, 103.30191490699663, 78.11621151355834, 132.17349250881685, 192.674005625392, 99.1191101397264, 195.44523461980782, 121.96636749061261, 149.028635873423, 116.43650280320196, 185.14248641294645]",-27824716.88,2.590461586,,,,,
"[90.32667890311154, 111.18779232426537, 95.5477913883841, 127.48596326884962, 77.42453795702798, 118.25985061977708, 92.24610545071533, 197.33735136520127, 77.17256069311482, 124.28331972891675, 110.33747020088835, 146.16445943840142, 119.05360404162099, 150.67620109003056, 107.58741706120658, 92.0620510533982, 136.5347730889683, 181.90561127550382, 94.80663965776446, 185.05107648223054, 122.67067814298818, 149.26869428700667, 156.2302099936984, 172.71854111174665]",-26493111.02,2.542087887,,,,,
"[90.46641777421175, 130.328001598392, 94.87125540492562, 117.4154953627683, 82.08107286774049, 104.27568784105165, 89.36199984973761, 154.96009827293386, 90.17895576305087, 129.11073842201532, 97.03150368388715, 143.47983140228223, 97.09214023742842, 153.9898221620901, 101.9308508220863, 78.11621151355834, 136.4535243014036, 192.5490797394536, 99.1191101397264, 196.40670100733848, 121.39447658181551, 147.31747684328542, 100.04422548240753, 173.06369444047974]",-25528709.32,2.496271424,,,,,
"[90.46641777421175, 130.328001598392, 94.87125540492562, 117.4154953627683, 82.08107286774049, 104.27568784105165, 89.36199984973761, 154.96009827293386, 90.17895576305087, 129.11073842201532, 97.03150368388715, 143.47983140228223, 97.391385702677, 153.9898221620901, 101.9308508220863, 78.11621151355834, 130.22241519580243, 192.5490797394536, 99.1191101397264, 196.40670100733848, 121.39447658181551, 147.31747684328542, 100.04422548240753, 173.06369444047974]",-25503451.3,2.495088944,,,,,
