hedgetargets,DeveloperProfits,ratio
"[159.57782890944566, 139.776911040875, 66.23332020502748, 163.44665251494547, 64.9641801970822, 199.0999226302399, 113.70872285129549, 213.61452104340987, 126.54865861550822, 147.98108942034315, 128.82672197931598, 196.85008294932211, 161.85132062630873, 235.3118417112828, 124.11539368113802, 165.76637654410715, 180.34919366766417, 249.86242478843883, 169.96967508603382, 213.17132027679114, 124.97356920166504, 195.51959676874617, 165.7586390698547, 205.55281606839011]",-44316951.337878816,3.001326325145201
"[57.82366765243728, 6.145513809737501, 129.34600325034535, 17.63471435540448, 130.33785885773244, 32.444452770173704, 68.44777071552855, 105.13166336258104, 111.90704187620148, 45.65029275053986, 105.88504494250051, 62.909454899902215, 83.73794140101433, 34.17524371534705, 31.31599273755645, 58.665609599703785, 88.13965045616379, 30.269688895413537, 74.17303308037431, 72.98553732383509, 59.24935846919486, 141.97947505365926, 110.96908322889246, 19.17973431317039]",4308961.113118424,0.7131588375474812
"[56.5493674478409, 86.68619426122643, 5.905684006514502, 71.03449948527582, 31.14843558530763, 101.06858394105377, 72.4541122885529, 133.4482473991349, 58.051160460530475, 77.21926848279308, 84.78666711571603, 94.31827806620245, 83.78333993788962, 124.02803870988356, 49.86859160267231, 59.83923770979087, 103.34698151637413, 132.7871463108298, 75.48050240503426, 127.83767930332523, 97.39979906193041, 83.70161966053871, 96.10173302981524, 135.7455748847834]",-10523679.716015946,1.6688920486618086
"[75.69841243246272, 113.37721179639045, 58.49600167341177, 115.44034112580673, 28.76499771305654, 97.94786323999466, 100.84233306258432, 99.25813586296715, 61.13907857653283, 104.5660237970936, 99.20093162708463, 128.36333009947535, 83.95951537340633, 132.06481994601532, 50.220710343131344, 103.27218811703514, 74.76859574253564, 171.88732474710582, 75.9608101928623, 167.95159784933045, 63.35231212534478, 138.92969084679015, 141.09875118040452, 150.78965565521804]",-19177809.808292244,2.1571182698693447
"[58.67589290092532, 59.87960432075195, 35.01561354215154, 71.41271315622005, 35.49535840089885, 59.90515780292652, 68.1277179699096, 125.95773431917725, 25.126768000211563, 76.27903751841438, 47.42670044967254, 94.01691867052492, 106.42456516736672, 120.62430154793314, 92.44230347013506, 61.52821487687645, 93.87401500762755, 134.27223232683718, 72.56524287378322, 129.12949511702752, 98.59048790765137, 87.74707624235884, 135.0176819020694, 128.13814070449874]",-9102620.158679672,1.5876917195565812
"[60.05423275368491, 113.37721179639045, 58.49600167341177, 115.44034112580673, 45.51021911014188, 97.94786323999466, 100.81000636965793, 135.0671545074024, 118.91836349745523, 104.5660237970936, 97.81352518383866, 127.8034661769541, 110.77427307832508, 122.59339195854696, 50.220710343131344, 103.27218811703514, 126.05224530627393, 171.88732474710582, 75.89868332735062, 167.52438396882096, 99.16217948019252, 138.92969084679015, 149.67424586056129, 150.78965565521804]",-20328954.97273188,2.2317492010559974
"[54.02704472799227, 59.506876414291554, 34.676711040978375, 12.881150156349719, 34.09840344005077, 35.84009125058752, 68.44777071552855, 103.83643997867229, 39.11377763532541, 47.21370989963934, 52.864704253254786, 65.27455823433085, 84.27895239989674, 68.06903111281281, 34.05470126585998, 50.89040402917513, 87.11578805947131, 53.7963044671228, 73.10603187125415, 76.07336456530957, 57.37393449300337, 88.40933320079064, 132.721080388771, 114.07835158380388]",1514236.3189702267,0.9232998166460366
"[58.968437506041965, 58.529019258290504, 34.676711040978375, 12.881150156349719, 34.09840344005077, 35.84009125058752, 68.44777071552855, 103.83643997867229, 39.11377763532541, 47.21370989963934, 52.89370326214396, 65.27455823433085, 84.27895239989674, 37.562118604470555, 34.05470126585998, 50.89040402917513, 98.7387486937939, 54.23571657700213, 73.10603187125415, 76.07336456530957, 57.37393449300337, 88.40933320079064, 132.721080388771, 114.07835158380388]",2289063.056348248,0.869405959924645
"[56.5493674478409, 86.68619426122643, 4.675110652950801, 71.33131767388045, 31.203754641636475, 101.38517094041069, 72.36295809328959, 132.85726482479024, 56.50155222091592, 77.21926848279308, 46.90376933062997, 133.3508323684778, 83.05676557446374, 124.0512514890772, 49.86859160267231, 71.13656603000248, 74.8499484746663, 132.76376429666263, 75.48050240503426, 127.83767930332523, 97.39979906193041, 83.70161966053871, 96.10173302981524, 135.7455748847834]",-11710490.491190556,1.7401347360424537
"[89.56644879458105, 48.74919785474234, 21.2118979985473, 20.371482387292627, 29.514022908669908, 57.28016132144232, 37.62678033889164, 54.39578536353751, 71.16724540261339, 76.31148644348711, 39.143398622625945, 91.25240764096716, 83.87142222849478, 103.73922482244632, 50.247267962015904, 41.162640284537986, 104.15199390217367, 86.25147738977198, 76.5421847725489, 83.07533680009685, 83.92718606982666, 85.81659122614714, 99.05107675279275, 77.76168341627574]",-233447.6458007306,1.0391436500141527
