param Strike:= 23;

param:	RT_node	RT_hub	Wind:=
0	33.9834621989821	23.1945	18.2072
1	42.64495491003985	25.2242	24.598000000000006
2	36.977332441480044	24.2471	10.1299
3	29.725925128883915	24.3654	5.5588
4	22.713867900527557	23.5648	7.891
5	24.30642374673181	23.3891	15.9066
6	25.65362029760052	23.6708	8.0776
7	24.05783654632733	23.8613	5.279
8	0.6678861722618485	24.2758	10.4097
9	30.01354326925659	25.1055	11.9443
10	21.261095296957432	25.8109	17.5682
11	7.559738766377585	25.8722	27.5352
12	19.121788397584133	26.4036	34.1692
13	25.700986561301747	26.2465	44.3046
14	23.313457330769072	25.6884	16.1622
15	29.21315408150961	25.1533	3.6931
16	37.64857552224792	24.9702	5.0924
17	50.10484951919889	26.3118	3.8797
18	52.421120730788154	30.7804	0.4967
19	47.21152987542306	27.9169	6.1185
20	32.17966660362257	28.9167	3.0401
21	18.108325457149814	26.9941	0.5793
22	28.860476425683498	25.1741	4.1595
23	9.972675685523557	25.0062	7.1447
24	30.92886579661967	23.6413	0.3482
25	39.03091899555945	24.3349	5.4655
26	36.78949073235361	22.9885	0.4417
27	22.679923109594213	22.622	0.0
28	24.23973654415997	22.9105	0.0
29	30.598621942649327	24.0599	12.0721
30	39.8838694488323	39.4244	7.891
31	18.79667410216937	25.097	0.8945
32	31.18502398572627	25.0981	13.3503
33	28.28391840691765	26.7779	0.1172
34	42.73889828396882	27.223000000000006	0.0
35	36.239821802401316	28.1139	0.2382
36	44.391798920810174	27.895	0.0
37	20.20355622276173	27.1718	0.0
38	39.953812110654695	26.8683	0.0
39	17.013809978598072	26.8952	0.0
40	28.115773865155287	26.9541	0.0
41	34.12527964210606	27.5071	0.0
42	45.5374486496476	28.1327	0.0
43	33.36451640752436	28.0942	0.0
44	37.9619429891831	27.17	10.6896
45	54.26089863473817	28.1926	5.4655
46	29.39355782908432	25.3407	0.0
47	33.45060414781965	24.8762	0.0
48	2.6030196305081645	22.8133	0.0
49	37.42400286792736	26.0596	0.2657
50	18.727333701815912	22.2823	4.0662
51	25.44698411792059	22.3777	0.1887
52	37.686138018418525	22.8772	17.4403
53	50.222743317393494	23.0213	11.8165
54	21.27189369464315	23.8374	0.4912
55	27.723899472031146	24.373	3.5998
56	25.50171941971441	25.2968	1.5475
57	26.94899639577671	26.4686	0.5353
58	26.733644676601592	25.9998	13.8615
59	26.30911692903068	25.1424	11.1774
60	23.51129948102129	24.0143	17.4403
61	23.38453235390059	23.5858	12.4555
62	24.55563412672084	23.736	19.6132
63	-102.62504627001292	22.9254	17.4403
64	24.858910201979786	23.0935	24.2146
65	27.87915620162604	26.2762	30.1151
66	15.006086086165281	26.6727	48.3671
67	-15.148195861081351	30.746	76.0395
68	-2.799987354252295	29.7104	184.8918
69	1.262685072114948	25.1414	198.6
70	-7.784300409525298	20.9927	198.6
71	-198.204111988906	19.8296	198.6
72	1.0943573470647934	23.3151	198.6
73	22.443025052812594	22.613000000000003	198.6
74	-0.29599254658263163	20.6922	198.6
75	-8.039003071158625	22.1092	198.3206
76	8.28135384677784	35.5728	197.9744
77	10.618283847827882	23.0329	160.3021
78	19.779127564672216	24.3724	153.9579
79	-12.508371090303939	25.0826	197.8013
80	-5.6039981209880425	25.8012	196.8492
81	24.44471311114768	27.6732	103.6529
82	23.92584956444069	25.2837	74.434
83	26.83686814271676	31.3567	51.0857
84	44.91835140892386	28.9963	22.6808
85	66.05393817783745	27.6545	10.9694
86	38.08977153826011	26.6391	2.0139
87	27.445298612901983	26.6065	0.4032
88	23.487030418216058	26.2112	0.2492
89	22.65561768839445	26.2816	0.0842
90	52.30966137606797	44.6309	0.3482
91	27.428274089371186	29.8758	14.3728
92	27.54667244718874	30.6043	68.8799
93	17.646800075788125	28.586	83.7455
94	24.273747685749697	36.9315	17.5682
95	-106.12360186301548	26.4973	37.302
96	20.15598878216123	26.3817	49.3557
97	-125.77308042495001	25.7485	90.8095
98	2.5237785442292338	25.0856	99.7999
99	-91.15071274400174	25.9942	72.8341
100	33.03513251403528	26.2458	52.3214
101	11.389686598633068	26.0437	76.3605
102	-5.913406658658237	21.9851	190.8532
103	0.8590015433771967	28.6021	196.9358
104	0.21832317527492506	24.151	155.9765
105	9.680709245801136	24.1832	131.8124
106	-40.42130032107424	22.5719	198.6
107	-5.657058966373093	21.5433	198.6
108	-14.01742303017649	20.2787	198.6
109	-5.2943395506528494	19.9432	198.6
110	-12.904030930315075	20.2693	198.6
111	-22.48345764171525	19.7501	198.6
112	9.90145000140368	19.6286	197.7666
113	7.180665529644027	23.0957	198.6
114	-3.475644784602707	24.645	198.6
115	3.3464029720788595	24.5338	198.6
116	-8.505689864906268	24.3712	198.6
117	-65.11882131661407	24.6862	193.9001
118	0.6132027018675856	23.7286	144.4302
119	-25.26680297470674	21.9352	112.1846
120	-0.8473914346048588	20.8985	97.8734
121	10.826245715567048	22.5519	142.3273
122	-15.886084602614552	22.54	128.3074
123	50.213474277074965	44.4148	118.8441
124	41.22598356467019	21.8411	127.6064
125	-6.9975680663093565	23.5537	126.555
126	-7.572171468471758	23.5565	196.1521
127	-183.20712140820484	26.3725	194.0325
128	10.289761189593378	24.6665	145.4817
129	-22.12588595513664	24.4973	88.8829
130	15.901813779759555	22.2929	94.6625
131	11.372491254831932	23.6497	106.2216
132	30.42766478141261	25.1171	28.8252
133	32.619806620014664	24.9376	18.8463
134	25.989900192052087	23.6838	14.884
135	35.306116635743535	23.6288	5.3722
136	29.56211282479587	23.8124	6.0252
137	27.602994804618174	24.1315	0.5903
138	33.51234681154213	27.2461	0.2492
139	2.7254347005372854	27.4396	9.5701
