,Value
0,21.8747
1,24.2446
2,23.3855
3,23.4761
4,22.8342
5,22.4232
6,22.4634
7,22.679
8,23.1345
9,23.8726
10,24.5637
11,24.6039
12,25.0884
13,24.8775
14,24.1289
15,23.6952
16,23.5557
17,24.8165
18,29.0652
19,26.5069
20,27.4103
21,25.5775
22,23.8759
23,23.5342
24,22.189
25,21.0247
26,21.6081
27,21.2763
28,21.5525
29,22.5454
30,-19.9443
31,23.574
32,23.7255
33,25.3294
34,25.8311
35,26.7733
36,26.6088
37,25.9263
38,25.6123
39,25.6307
40,25.6566
41,26.2008
42,27.3264
43,27.4492
44,26.3119
45,29.0326
46,24.4315
47,23.9831
48,21.9648
49,29.0101
50,21.4058
51,21.5174
52,21.5755
53,22.1295
54,22.7533
55,23.0625
56,24.6302
57,25.7925
58,24.653
59,23.863
60,22.7795
61,22.1644
62,22.8121
63,21.9004
64,21.5187
65,15.7241
66,12.3529
67,-15.1418
68,-6.3758
69,-3.9742
70,13.1755
71,3.5707
72,-23.1659
73,-10.3522
74,5.5551
75,-0.7345
76,-40.9561
77,8.587
78,8.6538
79,11.9643
80,13.7821
81,25.6904
82,23.5199
83,29.5126
84,27.587
85,26.3111
86,25.3128
87,25.2227
88,24.8033
89,24.985
90,42.4069
91,28.1014
92,28.4912
93,26.2947
94,-33.5993
95,15.7243
96,13.9433
97,16.4427
98,18.5545
99,13.1615
100,11.4107
101,21.1186
102,19.9635
103,26.1439
104,21.6788
105,21.1142
106,20.2423
107,19.2184
108,18.4104
109,18.1158
110,18.3723
111,17.9568
112,18.0097
113,21.3988
114,22.8081
115,22.5217
116,22.3618
117,22.9838
118,22.1846
119,20.7045
120,19.5654
121,21.0628
122,20.7799
123,-96.151
124,5.7804
125,9.9077
126,10.105
127,24.6216
128,22.6517
129,23.1891
130,21.2771
131,22.7919
132,24.3984
133,24.4252
134,23.1278
135,22.9465
136,23.0699
137,23.3579
138,26.4215
139,27.0884
140,25.8461
141,25.6969
142,22.4536
143,20.5001
144,19.0313
145,-92.0335
146,-3.7828
147,2.6356
148,-5.564
149,-12.2606
150,-4.6461
151,17.2356
152,18.0309
153,18.4447
154,12.2101
155,-11.6792
156,6.5629
157,8.2909
158,20.9912
159,22.5035
160,22.2115
161,25.4567
162,613.3946
163,32.7149
164,35.9563
165,30.392
166,29.0887
167,19.3885
168,-34.4894
169,6.3941
170,-77.7558
171,-38.111
172,8.042
173,6.9016
174,9.535
175,36.5191
176,-4.6584
177,20.1022
178,10.1442
179,21.266
180,24.4724
181,21.3931
182,23.8642
183,22.5194
184,23.8994
185,24.1279
186,20.865
187,21.9401
188,11.5511
189,-117.7914
190,-46.869
191,-91.0114
192,-36.4555
193,-89.5821
194,-2.2159
195,-2.0014
196,-18.5026
197,17.6502
198,21.2728
199,23.962
200,24.3019
201,25.08
202,22.6834
203,23.0686
204,23.5282
205,23.1384
206,23.2753
207,24.7112
208,23.7269
209,24.568
210,30.32
211,27.0458
212,26.4176
213,26.8197
214,26.5231
215,24.0439
216,21.1504
217,19.5076
218,-31.1346
219,-34.3386
220,2.9568
221,19.1246
222,-79.0496
223,8.0987
224,9.0171
225,8.7854
226,-8.493
227,-1.1255
228,11.4937
229,10.8354
230,3.7827
231,5.8357
232,17.2026
233,15.8764
234,18.0322
235,18.4657
236,18.5496
237,18.5002
238,17.7104
239,16.8238
240,-7.9455
241,17.7647
242,18.9665
243,19.4217
244,19.2396
245,19.25
246,20.0165
247,21.8922
248,22.6726
249,22.8377
250,24.6981
251,24.8177
252,26.682
253,28.3095
254,26.305
255,26.6819
256,27.6621
257,26.8933
258,27.3788
259,26.6823
260,26.4902
261,25.5577
262,25.0323
263,-74.3232
264,12.287
265,-25.0705
266,-31.3138
267,-75.357
