,Value
0,31698.161500000006
1,31936.890416000002
2,31162.004667
3,30314.864835
4,29558.739667
5,28598.022833000003
6,27860.230251000005
7,27175.313583
8,26681.478665999995
9,26336.790749
10,26164.833334
11,26207.442002
12,26593.375417
13,27037.022252000002
14,27389.591916999998
15,27480.951084
16,27920.871666999996
17,28114.457582999996
18,28170.209
19,27928.993165000004
20,27570.614750000004
21,27287.076502
22,27259.848749
23,27636.389583
24,28979.704415
25,29478.905167999994
26,29091.429915999997
27,28697.103999999996
28,28024.663914999997
29,26910.960251
30,25814.345001
31,25067.837667999996
32,24611.204334
33,24402.326583000002
34,24432.464915999997
35,24763.339416000003
36,25578.551247999996
37,26926.194999
38,28176.461165
39,28566.893417000007
40,28954.283751999996
41,29044.552334999997
42,28887.268835000003
43,28491.321
44,28257.789
45,28022.644168000003
46,27896.685416999993
47,28184.058833000003
48,29242.530831000004
49,29415.264665
50,28925.980668000004
51,28462.505334
52,27682.758332
53,26655.231751
54,25472.700167000003
55,24608.316999999992
56,24054.221333000005
57,23727.162998999996
58,23549.289750999997
59,23727.817584
60,24191.494416999998
61,24905.313833999993
62,25696.427333000003
63,26123.210998000002
64,26656.476999
65,26844.945084000003
66,26699.160585
67,26320.067085000002
68,26001.989917000003
69,25714.266165999998
70,25734.454415999997
71,26218.700752000004
72,27654.222330999997
73,28268.020667
74,28112.151832
75,27943.105582999993
76,27482.215249999994
77,26804.987251000006
78,26061.405917000004
79,25657.280501
80,25620.7945
81,25780.338914999997
82,26079.559502
83,26575.25941700001
84,27351.970914999998
85,28343.052749000002
86,29299.981831
87,29849.154000999995
88,30035.987248999998
89,29727.207166
90,29388.048167
91,29008.306248999997
92,28384.754748999996
93,27906.393332000003
94,27712.076580999998
95,28272.749831999994
96,30473.599834
97,31871.653498999996
98,32114.871668999996
99,31891.677081999995
100,31221.53575
101,29937.848499999996
102,28831.130834
103,28332.371999999996
104,28161.451583000002
105,28193.989667
106,28405.777582000002
107,29056.138168
108,30505.619084
109,32878.661334000004
110,34208.598417
111,33772.710918
112,33239.260583999996
113,32584.397499000002
114,31855.454666999998
115,31131.222832
116,30547.968749
117,29874.875168000006
118,29428.441252000004
119,29563.343998999997
120,31045.438585000004
121,32141.256251
122,32000.721167
123,31556.411498999994
124,30650.382248
125,29077.375832
126,27686.107751000003
127,27038.227333999996
128,26774.946333
129,26718.306666
130,26908.905581999996
131,27501.195916
132,28930.425500999998
133,31295.962832000005
134,32511.039333
135,31897.647584000002
136,31123.39
137,30404.408334000003
138,29630.102500000008
139,28871.758917
140,28258.770998999997
141,27653.655085000006
142,27344.996002000004
143,27659.489834
144,29210.187664999998
145,30639.841833000006
146,30751.739915
147,30666.450750000004
148,30053.536999
149,28874.32175
150,27731.571919
151,27182.162166000002
152,27044.180166
153,27206.939418
154,27485.947164999998
155,28274.398415000003
156,29878.022248999998
157,32393.866751000005
158,34000.799834
159,33926.956749
160,33926.68816799999
161,33977.441583
162,33749.59266899999
163,33370.096916
164,32946.5055
165,32408.337666999996
166,32267.534416
167,32769.720167
168,34628.901331
169,35972.088835
170,35944.008665999994
171,35685.836667
172,34801.94833400001
173,33320.052832999994
174,32104.235416999996
175,31434.368916
176,31228.576916
177,31214.542751
178,31445.289998999997
179,31999.430083
180,33340.267002
181,35408.318169
182,36695.206499
183,36076.827502
184,35455.885251
185,34783.031083999995
186,33948.322331999996
187,32816.054750999996
188,31946.837915999997
189,31070.659582000004
190,30560.012499999997
191,30745.594416000004
192,31993.958916
193,33016.411835000006
194,32898.911167
195,32619.475832
196,31840.788249
197,30434.711666000003
198,29185.035249
199,28528.430416000003
200,28318.374
201,28308.248917
202,28554.587001
203,29091.748582999993
204,30428.125332999996
205,32586.215417
206,33963.67875000001
207,33484.238749000004
208,33173.157832
209,32798.297999999995
210,32191.8145
211,31405.290664999997
212,30884.066750000005
213,30263.435665999998
214,29881.839500000002
215,30096.891583999997
216,31431.892584000005
217,32520.885914999995
218,32345.213082
219,32115.52425
220,31705.830083
221,30825.602333000003
222,29841.680752
223,29181.434500999996
224,28897.309084999994
225,28786.046501000004
226,28803.756497
227,28988.154498000004
228,29608.832832
229,30410.956001000002
230,31201.25125
231,31425.084082
232,31445.813167
233,31057.87166600001
234,30399.902332
235,29529.983166999995
236,28712.032001
237,28060.281916999993
238,27755.821166
239,28014.646500000003
240,29323.131998999997
241,30214.297667000006
242,30092.821165999998
243,29745.927083
244,29115.119168
245,28105.405668
246,26999.461251
247,26195.023333999994
248,25755.152916
249,25528.341332
250,25564.876666999997
251,25762.347916000002
252,26206.025249
253,26901.968999999997
254,27757.915999999997
255,28317.586667000003
256,28634.636833
257,28435.696333
258,28297.396083
259,28097.258583
260,27684.906416999995
261,27323.43325
262,27290.651002000002
263,27687.102166000004
264,28982.317915999996
265,29557.049249999996
266,29413.754333
267,28927.533001000003
268,28045.269917999998
269,26653.351083999998
270,25394.071914000007
271,24720.067667000003
272,24512.682999000004
273,24469.029832999997
274,24768.134667000002
275,25487.265084
276,27051.011917
277,29636.085334999996
278,31293.539582000005
279,31195.366998999998
280,31273.416416
281,31392.8205
282,31210.818833999998
283,30939.795668999996
284,30638.406666000003
285,30213.550833000005
286,30009.946416000006
287,30449.146748
288,31844.882668000006
289,32917.744834000005
290,32807.730749999995
291,32347.531335
292,31574.037665
293,30150.484251000005
294,28925.443249999997
295,28255.568584
296,28037.276417
297,28055.794333
298,28311.041667
299,28967.61525
300,30325.006084
301,32795.342749999996
302,34140.447918000005
303,33685.733333
304,33104.768083
305,32534.718166999995
306,31739.345333999998
307,30925.289167000003
308,30197.724832
309,29568.475166
310,29280.738250999995
311,29737.097414999993
312,31133.370498000004
313,32283.761081999997
314,32207.021168
315,31875.451833000003
316,31040.924252000004
317,29509.849084
318,28226.257751999998
319,27504.78283499999
320,27189.293667000005
321,27069.805750999996
322,27191.836666
323,27676.530917
324,29070.579166999996
325,31384.856333999996
326,32756.333831999997
327,32302.415584999995
328,31859.455665000005
329,31312.249332
330,30519.04175
331,29705.073749999996
332,29098.928583000004
333,28547.176500999998
334,28403.399416
335,28828.26025
336,30134.703919
337,31086.548082000005
338,30873.098249
339,30480.360500000003
340,29543.879332000004
341,27972.274415000004
342,26590.242333
343,25872.33175
344,25525.973665999998
345,25447.260749
346,25598.815252000004
347,26117.225833
348,27532.172167
349,29995.358915
350,31281.387164999993
351,30600.338749000002
352,29696.186749000004
353,28845.641084000003
354,27897.985915999994
355,27049.216418
356,26414.734334000004
357,25705.94575
358,25253.979418000003
359,25397.006167000003
360,26551.411417
361,28287.965249
362,28628.410751
363,28687.141084000003
364,28155.6615
365,26959.48975
366,25852.472668000006
367,25288.2165
368,25169.599749999998
369,25212.600501
370,25459.482584
371,25893.346847
372,27546.800331999995
373,29979.931749999996
374,31297.963415
375,30500.524498000002
376,29289.18825
377,28163.277499
378,27096.380833
379,26117.668418
380,25382.559666000005
381,24776.999498
382,24311.691586
383,24259.642168000002
384,25109.922582000007
385,26317.962583999997
386,26269.945417
387,26125.674249
388,25744.758415999997
389,24886.261750000005
390,23925.100834000004
391,23266.731000999996
392,22992.634001
393,22869.54175
394,22933.848417
395,23162.536249999997
396,23822.175500999998
397,24770.885916
398,25690.098916
399,25967.952584000002
400,25915.618415999998
401,25487.933584
402,24781.645416
403,23984.232417000003
404,23285.189415
405,22745.769667000004
406,22461.084834
407,22602.049333999996
408,23646.900335
409,25003.235497999995
410,25020.501917999998
411,24887.483668
412,24574.929832
413,23917.300001000003
414,23104.515417
415,22617.088749000002
416,22427.484416000003
417,22425.195168
418,22553.951165000002
419,22871.703668000002
420,23492.38025
