hedgetargets,strikeprice,DeveloperProfits,ratio,,,,,,,,,,,
"[114.07485247992719, 151.65337647511177, 84.02672323144714, 164.68469886540953, 129.6576934191832, 141.224838752574, 126.2219334414748, 223.066065932366, 87.08606872192343, 174.47313450352357, 116.32791906187525, 153.68377825743406, 166.20897518088066, 214.64322554516195, 125.49220451156137, 163.65629344134956, 174.4115875670985, 217.59269273788965, 143.0793163545561, 221.3220934471568, 130.12780999250168, 165.37073544717816, 139.2047850507197, 204.3387273086444]",14.00288176,-43563557.98,3.398157226,,,,,,,,,,-2954626.19,1.15
"[114.07485247992719, 151.65337647511177, 84.30940017172276, 164.68469886540953, 134.75262608023235, 141.2288579356751, 125.86810558704659, 223.066065932366, 87.08606872192343, 174.47313450352357, 116.32791906187525, 153.68377825743406, 166.20897518088066, 214.64322554516195, 125.49340053858356, 163.65629344134956, 174.50186568961414, 217.59269273788965, 143.0793163545561, 221.3220934471568, 130.12780999250168, 165.37073544717816, 139.2047850507197, 199.37403855092765]",14.00458846,-43460513.78,3.395618043,,,,,,,,,,,
"[114.07485247992719, 151.65337647511177, 84.02672323144714, 146.45311677055884, 95.06742527963438, 141.224838752574, 126.2219334414748, 179.95024762336712, 84.620880948282, 174.47313450352357, 116.32791906187525, 153.2387050896352, 165.82183088681953, 214.64322554516195, 125.49220451156137, 166.25487465973026, 174.41595756539556, 217.59269273788965, 141.17755282780212, 221.3220934471568, 130.12780999250168, 165.37073544717816, 137.15432398062086, 202.66692313676373]",14.00108062,-41975938.66,3.375472564,,,,,,,,,,,
"[114.07485247992719, 151.65337647511177, 84.02672323144714, 146.45311677055884, 129.63655752176578, 141.224838752574, 126.2219334414748, 173.3861916720228, 84.620880948282, 130.98387263270206, 116.32791906187525, 153.2387050896352, 165.52647780692587, 214.64322554516195, 125.49220451156137, 163.65629344134956, 174.2029693027743, 217.59269273788965, 141.17755282780212, 219.61229176100665, 130.12780999250168, 165.37073544717816, 139.12987386600216, 202.56122709003753]",14.00108062,-40902101.65,3.363542447,,,,,,,,,,,
"[125.21272771877807, 141.0753014642707, 66.0199053836577, 145.09672928669292, 34.34333759628603, 140.91847141971576, 123.05118619784159, 225.00970485662245, 66.27660091577752, 129.94709432606632, 118.10854913514598, 179.31452605398732, 148.40084506972053, 217.6504925169807, 123.95308823967656, 118.7437563313134, 196.33696093005392, 222.30898688526463, 137.40393669058437, 211.42800228009327, 134.33840157426675, 164.21637427984464, 139.17697342799917, 199.55347013770844]",14.01513234,-40143215.97,3.343249065,,,,,,,,,,,
"[125.21272771877807, 141.0753014642707, 66.0199053836577, 145.09672928669292, 36.71549412157563, 140.91847141971576, 122.98921580640058, 225.00970485662245, 66.13254250368645, 129.94709432606632, 118.10854913514598, 179.31452605398732, 148.40084506972053, 217.6504925169807, 123.95308823967656, 106.6539992369604, 196.33696093005392, 222.30898688526463, 143.1048299402913, 211.42800228009327, 134.33840157426675, 164.21637427984464, 139.17697342799917, 199.55347013770844]",14.01513234,-39769941.55,3.329711096,,,,,,,,,,,
"[114.34622669800142, 141.0753014642707, 72.74055568767002, 145.09672928669292, 154.8448295751575, 140.91847141971576, 86.7559730426772, 227.8871929309526, 66.13254250368645, 129.94709432606632, 118.65812111378547, 142.5918785694863, 148.40084506972053, 222.84763753939163, 123.95308823967656, 104.39234826551898, 170.79677548425826, 214.81330545630377, 131.37251243053925, 211.53039915816152, 134.33840157426675, 164.21637427984464, 142.9439671687943, 199.98934278993977]",14.01513234,-38918275.28,3.299783711,,,,,,,,,,,
"[125.21272771877807, 141.0753014642707, 65.57323008933714, 145.09672928669292, 36.71549412157563, 140.91847141971576, 86.7559730426772, 225.10259849755005, 66.13254250368645, 129.94709432606632, 118.65812111378547, 142.5918785694863, 148.40084506972053, 222.84763753939163, 123.95308823967656, 106.9588060123574, 170.79677548425826, 217.64976522838242, 131.37251243053925, 211.53039915816152, 134.33840157426675, 164.21637427984464, 139.17697342799917, 199.98934278993977]",14.01513234,-38385184.39,3.298565626,,,,,,,,,,,
"[126.20873109478391, 153.71877183989378, 70.22030179343636, 151.48548647052183, 109.80161982351092, 141.22687582641635, 125.60374493717062, 225.2192436030959, 114.72399795261983, 128.56132922229594, 117.45445066014584, 142.38881824087747, 151.8968218093158, 150.99768284162576, 147.8427283157141, 100.25856179246756, 171.21721201335612, 218.45024963213896, 135.69026099458793, 195.09560027355457, 139.90142670754554, 164.35767310055286, 156.94532908195688, 201.96884858489284]",14.00613936,-36632926.78,3.241780192,,,,,,,,,,,
"[93.87353800600994, 154.4471388068195, 59.46054738785575, 146.0343304811746, 17.678398011036535, 141.323366737309, 126.22077518029573, 180.0864512288184, 84.38737641526498, 118.98701932243948, 126.49174273246702, 142.275959562734, 131.335088742109, 158.06996815478755, 124.63975560968557, 161.0868562834387, 174.4585552164058, 218.2731520832391, 50.35542187129256, 197.07974864670553, 119.7287430124241, 146.49365742811693, 137.2233952362262, 202.0892924585384]",14.00813361,-35682664.82,3.188037572,,,,,,,,,,,
