hedgetargets,strikeprice,DeveloperProfits,ratio,,,,,,,,,,,
"[126.20873109478391, 139.20332518737408, 70.22030179343636, 151.48548647052183, 109.80161982351092, 141.22687582641635, 125.62311815027859, 225.2192436030959, 114.72399795261983, 128.56132922229594, 116.68775813934641, 136.0002873807045, 151.8968218093158, 150.99768284162576, 147.8427283157141, 105.26225558874837, 171.2526744106001, 180.0685767980707, 145.1815778230688, 195.09560027355457, 134.67470971936103, 164.35767310055286, 156.94532908195688, 201.96884858489284]",14.00596794,-34722861.1,3.175073155,,,,,,,,,,,
"[126.20873109478391, 99.73898914288931, 115.65778387659772, 151.48548647052183, 97.64507798502719, 141.22687582641635, 126.23841857587873, 173.60994836065353, 95.12648505623318, 129.5256492887481, 116.68775813934641, 164.84667439580343, 151.8968218093158, 150.99768284162576, 147.8427283157141, 105.26225558874837, 178.09946328338484, 176.7803197872637, 143.36547032872653, 215.12465132719558, 135.5094582522552, 164.35767310055286, 136.9561936482459, 202.63009245393727]",14.00607758,-33936999.72,3.144753656,,,,,,,,,,,
"[126.20873109478391, 97.97296527252882, 70.22030179343636, 108.11997517271853, 93.08591271550048, 141.22687582641635, 128.49410427202162, 156.53750302283535, 114.72399795261983, 128.56132922229594, 116.330852950116, 142.01509452165604, 151.8968218093158, 151.21905882886668, 148.22486227096545, 100.25856179246756, 171.21721201335612, 218.45024963213896, 136.3338312513, 195.09560027355457, 139.90142670754554, 159.0453142797729, 156.94532908195688, 201.96884858489284]",14.00613936,-32400036.16,3.087000241,,,,,,,,,,,
"[126.20873109478391, 97.97296527252882, 70.22030179343636, 108.14717952842967, 93.08591271550048, 141.22687582641635, 85.87896967546936, 156.53750302283535, 114.72399795261983, 128.56132922229594, 116.330852950116, 141.59926885157273, 151.8968218093158, 151.21905882886668, 148.22486227096545, 100.25856179246756, 171.21721201335612, 218.45024963213896, 136.3338312513, 195.09560027355457, 139.90142670754554, 149.58963508497186, 156.94532908195688, 201.96884858489284]",14.00613936,-32047268.2,3.075884288,,,,,,,,,,,
"[127.8540628714563, 99.1606477733514, 115.65778387659772, 151.48548647052183, 99.71838268909913, 141.22687582641635, 125.62311815027859, 118.19887522811612, 114.72399795261983, 113.41245577347019, 116.68775813934641, 164.40504727068694, 151.8968218093158, 150.99768284162576, 119.31573597427725, 105.16361440514082, 178.0560560820132, 176.7803197872637, 142.76494656931638, 195.7523886072831, 150.50760360882703, 164.35767310055286, 138.5151904890546, 202.63009245393727]",14.00607758,-31549576.17,3.032060118,,,,,,,,,,,
"[125.78839111487626, 99.1606477733514, 57.83526676023243, 151.48548647052183, 99.71838268909913, 142.83145856966388, 125.62311815027859, 118.19887522811612, 114.72399795261983, 113.41245577347019, 61.158008537954174, 164.40504727068694, 131.71365130101836, 150.99768284162576, 119.31573597427725, 105.16361440514082, 176.96632853555852, 172.40142691782768, 142.76494656931638, 195.7523886072831, 154.71897341065272, 164.35767310055286, 138.5151904890546, 202.63009245393727]",14.00607758,-30875645.87,2.998093153,,,,,,,,,,,
"[113.66928704985676, 99.13873277341222, 59.67976040465551, 141.53334608362422, 15.251903112226357, 141.323366737309, 126.22077518029573, 173.9990703872806, 82.05214018484526, 118.82154513454114, 118.19292376706723, 142.76939702129735, 143.2843912626065, 144.05742996914893, 124.61409798200738, 98.33908811377796, 174.63202420571457, 177.68057209465033, 65.7664076649324, 196.03249962569933, 119.96002101766669, 147.69607663248897, 137.1830678299226, 201.83988248008995]",14.01525145,-29870090.44,2.98393755,,,,,,,,,,,
"[113.66928704985676, 99.13873277341222, 59.67976040465551, 141.53334608362422, 15.251903112226357, 141.323366737309, 126.22077518029573, 173.9990703872806, 82.05214018484526, 118.82154513454114, 118.19292376706723, 142.76939702129735, 143.2843912626065, 144.05742996914893, 124.61409798200738, 98.33908811377796, 174.63202420571457, 177.68057209465033, 65.7664076649324, 196.03249962569933, 119.96002101766669, 147.69607663248897, 134.2386854161747, 201.83988248008995]",14.01525145,-29848942.59,2.982735949,,,,,,,,,,,
"[113.66928704985676, 99.13873277341222, 59.67976040465551, 141.53334608362422, 9.568033298348663, 141.323366737309, 126.22077518029573, 173.9990703872806, 76.96614086293566, 118.60858479827898, 118.19292376706723, 142.45169322338347, 143.2843912626065, 144.05742996914893, 125.61410785451585, 98.33908811377796, 174.63202420571457, 178.72808566578843, 65.7664076649324, 196.03249962569933, 119.96002101766669, 119.94559800004146, 137.1830678299226, 201.83988248008995]",14.01525145,-29327601.38,2.944434399,,,,,,,,,,,
"[113.68684333474008, 95.83114071700025, 61.411395777908474, 141.53334608362422, 32.62783336366812, 140.97200132681678, 126.22077518029573, 174.39937585990015, 116.69187799533927, 83.95401264416898, 118.21874938611982, 142.6723080982259, 151.92061213220146, 145.76206929812963, 124.61409798200738, 87.0302939296184, 174.63202420571457, 176.82573055359035, 65.7664076649324, 195.83346210781986, 119.97647183357782, 150.4800115648213, 155.9922535955645, 205.55397149086775]",14.01525145,-29253242.55,2.943157371,,,,,,,,,,,
"[126.20873109478391, 97.97296527252882, 70.22030179343636, 108.14717952842967, 93.08591271550048, 89.60982746738009, 85.87896967546936, 156.24732767879576, 84.92354317512518, 125.16337180078101, 116.330852950116, 142.38881824087747, 141.39834701268808, 151.355605857816, 116.8101518409976, 98.32667148031913, 171.21721201335612, 177.05458329409385, 68.84593818069492, 195.09560027355457, 139.90142670754554, 149.3738867145623, 153.9320135692829, 201.96884858489284]",14.00613936,-28421736.45,2.914691302,,,,,,,,,,,
"[126.20873109478391, 97.97296527252882, 70.22030179343636, 108.14717952842967, 93.08591271550048, 89.60982746738009, 85.87896967546936, 156.24732767879576, 84.92354317512518, 118.70302640465945, 116.330852950116, 142.38881824087747, 141.39834701268808, 151.355605857816, 116.8101518409976, 98.32667148031913, 171.21721201335612, 177.05458329409385, 68.84593818069492, 195.09560027355457, 139.90142670754554, 149.3738867145623, 153.9320135692829, 201.96884858489284]",14.00613936,-28275915.32,2.90875538,,,,,,,,,,,
"[97.0243969142347, 99.1447733034042, 68.84611714861447, 141.54876317866925, 164.05169102689564, 91.82648219369958, 126.16583135104423, 116.31930828984358, 66.31133421131824, 118.82154513454114, 89.1432963422562, 142.76939702129735, 141.46004963106756, 145.87968648073195, 117.44931980620403, 98.34079724080989, 167.245353909137, 177.68057209465033, 72.88155168578672, 196.03249962569933, 110.84815713539187, 150.37967384680155, 139.07460898281434, 201.83988248008995]",14.00744724,-28075023.48,2.853766024,,,,,,,,,,,
"[112.81331404664975, 97.92612984237562, 59.67976040465551, 141.53334608362422, 15.251903112226357, 141.323366737309, 126.22077518029573, 151.92795355153723, 81.91987869205875, 118.78953153954347, 118.19292376706723, 142.76939702129735, 143.2843912626065, 144.05584428788893, 124.61409798200738, 79.30311657292036, 172.3969423065877, 143.39385783077012, 65.7513597099856, 196.03249962569933, 119.96002101766669, 147.69607663248897, 137.1830678299226, 201.54487750087029]",14.01525145,-27348700.44,2.840820189,,,,,,,,,,,
"[113.68684333474008, 95.843822965461, 59.46054738785575, 141.53334608362422, 28.96910011550544, 124.63217678210563, 126.22077518029573, 174.39937585990015, 81.7604349260299, 83.95401264416898, 118.21874938611982, 142.8112671617451, 136.40908344291273, 145.76206929812963, 124.61409798200738, 87.42731877543969, 174.63202420571457, 176.82573055359035, 65.7664076649324, 187.57990717560804, 119.97647183357782, 150.4800115648213, 155.9922535955645, 135.44317605726437]",14.01525145,-26364663.25,2.791419179,,,,,,,,,,,
"[94.09325075283053, 98.55702733663267, 103.45603734261492, 147.77339437982243, 25.75943311973754, 89.8941376916784, 126.33186899613744, 173.65519906533044, 101.1673254366834, 82.16915998819323, 54.74272213966273, 142.6314756373456, 152.1011570510313, 136.8003213199037, 133.9177172080388, 95.75226919733264, 170.9476353905059, 169.7009702689743, 63.511951214332775, 185.5855888847266, 162.34969000099056, 172.6802242604417, 139.1513043233364, 146.34564997019405]",14.00324561,-26057222.31,2.758323671,,,,,,,,,,,
"[94.15957370386467, 99.55430233364042, 82.5279026679863, 139.76186062061103, 71.60376809498538, 84.43254783762059, 126.18387489897523, 144.4367384552121, 22.39799640492632, 119.97757893059293, 55.23002964346011, 142.261277546199, 135.90471748613322, 122.53284176386948, 125.43310036908466, 79.33656182555117, 179.38033836675064, 180.00460678970478, 76.18143509009141, 195.88389834918974, 153.78441627116075, 163.9760618980553, 139.20298276349345, 145.9822206142813]",14.01481905,-25265036.07,2.707770885,,,,,,,,,,,
"[125.78120474864315, 101.76908934197107, 65.94746592193653, 109.4935467045538, 44.07311492648919, 134.1716894856572, 126.18674996880391, 156.97702525308094, 114.4717407207969, 129.93034103345659, 116.28599822507957, 151.81164081863415, 143.3678691213649, 144.7038432951736, 125.76099908965031, 97.41510614340254, 131.1201487215439, 161.26474255159528, 63.84591924800166, 129.22568851812707, 117.1865433185509, 148.99300254890198, 137.1688428395319, 146.32676182063162]",14.01519972,-24657982.97,2.698523365,,,,,,,,,,,
"[95.55206993687929, 102.01814117918605, 45.2443807465049, 108.72671873214084, 44.07311492648919, 127.80669429568482, 126.18674996880391, 156.97702525308094, 114.4717407207969, 124.65148501949048, 116.28599822507957, 152.49356082183488, 143.33537928018902, 143.73082146740285, 125.75980306262812, 97.46978086998894, 129.53059228770326, 161.26474255159528, 64.11389412724586, 128.4655244106698, 109.22395453226282, 149.4219886759307, 137.13973850203718, 146.32676182063162]",14.01467149,-24066964.9,2.667962708,,,,,,,,,,,
"[125.78120474864315, 101.76908934197107, 65.94746592193653, 109.52650071334376, 9.76302339046022, 134.1716894856572, 126.04422393562375, 160.3672992349222, 114.4717407207969, 129.93034103345659, 116.28599822507957, 154.36920166996373, 143.60225042611714, 144.7038432951736, 74.34726951503804, 73.27489236238922, 131.1201487215439, 161.26474255159528, 63.84591924800166, 129.17584508000286, 117.1865433185509, 148.99300254890198, 137.1688428395319, 146.32676182063162]",14.01519972,-23603907.86,2.629765182,,,,,,,,,,,
"[97.07735468955599, 99.87245528715961, 40.48595353627138, 108.34911136029115, 44.07311492648919, 88.1886334162041, 86.43970318631878, 156.97702525308094, 114.4717407207969, 124.65148501949048, 116.28599822507957, 152.49356082183488, 143.33537928018902, 143.73082146740285, 125.76099908965031, 97.46978086998894, 129.53059228770326, 161.26474255159528, 68.38023844458905, 128.4655244106698, 109.22395453226282, 149.4219886759307, 137.147562496184, 146.32676182063162]",14.02404496,-22982876.05,2.605961482,,,,,,,,,,,
"[96.24006444689634, 99.87070813550095, 45.26479672740909, 95.00038045283026, 80.20768547293969, 84.43254783762059, 126.36912269982493, 145.39673294614772, 53.47928169031091, 112.00177904410401, 70.58490790029612, 152.50257473949813, 139.47860688417848, 146.6859838963961, 109.81113813993711, 97.66227359680656, 129.8261462780489, 178.901996267931, 77.51323140223751, 129.07980181205457, 135.0357485788081, 149.42117641250127, 133.22583319403236, 141.50911324583998]",14.00456175,-22647461.53,2.581163338,,,,,,,,,,,
"[96.16655494520364, 97.92802040939503, 49.606552579206195, 108.75392308785199, 28.44425669965481, 127.80669429568482, 83.58480581886192, 153.86573824926597, 44.28785621421261, 84.45561089551462, 116.28599822507957, 155.5843748881293, 133.69938178970287, 143.73082146740285, 123.14114964127043, 79.16364585584522, 130.16867522121643, 161.5931594292091, 64.17449300624298, 127.0145398830513, 128.2352863067063, 148.89721898858411, 139.89305489816942, 148.30802439809548]",14.01519972,-21990153.17,2.551850641,,,,,,,,,,,
"[97.07735468955599, 99.87245528715961, 40.48595353627138, 108.34911136029115, 44.07311492648919, 88.1886334162041, 85.63411372165844, 156.97702525308094, 113.86108964878181, 110.37029768400625, 116.28599822507957, 106.2660378554902, 143.33537928018902, 144.9031395695039, 125.76099908965031, 97.46978086998894, 171.9701783169499, 161.25262028085416, 68.38023844458905, 116.28945484830642, 115.07639634242756, 131.28923384067735, 137.147562496184, 146.32676182063162]",14.02404496,-20740733.33,2.460254489,,,,,,,,,,,
"[95.58666171564747, 99.54020137381002, 42.693601771879194, 108.72671873214084, 44.07311492648919, 124.26487502358074, 126.18688274116326, 155.74708663762007, 112.36672307149064, 120.47563999510106, 115.36693398477468, 152.9310350454013, 133.69938178970287, 121.89617818261526, 123.14114964127043, 40.59135600030821, 131.392806469248, 141.73252113596374, 64.11455995123806, 127.0145398830513, 122.0519810130243, 149.60345818322122, 137.15564269248898, 146.3467589611657]",14.00604816,-20466793.23,2.424653979,,,,,,,,,,,
"[124.73710324438198, 93.22190000647777, 25.150917566661896, 112.42810690733161, 23.921482322230247, 90.05119484093899, 126.01267757608356, 158.71229676213227, 76.90121385246223, 86.34175640207255, 68.67431402936232, 105.48616724927295, 131.19513111220178, 145.45392140279742, 121.02759193679663, 75.14466997521788, 171.8419445882832, 175.25443153418067, 75.66465814755969, 129.35254203206577, 115.48406311018094, 124.13914367210563, 128.62175545030664, 142.56391487248334]",14.01453353,-19970563.63,2.41312971,,,,,,,,,,,
"[124.73710324438198, 93.22190000647777, 25.150917566661896, 107.70525845450345, 23.921482322230247, 90.05119484093899, 126.01199934055778, 158.71229676213227, 76.90121385246223, 86.34175640207255, 68.67431402936232, 106.41056169393639, 131.18411495960237, 145.45392140279742, 121.02759193679663, 75.14466997521788, 171.8419445882832, 160.97139622128958, 76.35738670057742, 129.35254203206577, 115.48406311018094, 124.13914367210563, 128.62175545030664, 142.56391487248334]",14.01453353,-19337982.61,2.377750996,,,,,,,,,,,
"[97.07735468955599, 99.87245528715961, 40.48595353627138, 108.34911136029115, 44.07311492648919, 88.1886334162041, 86.43970318631878, 156.97702525308094, 113.86108964878181, 110.37029768400625, 116.28599822507957, 44.23764460903337, 143.33537928018902, 144.9031395695039, 125.76099908965031, 97.46978086998894, 126.84882326810273, 161.25262028085416, 68.38023844458905, 116.28945484830642, 109.22395453226282, 131.28923384067735, 137.147562496184, 146.32676182063162]",14.02404496,-18808591.62,2.289106249,,,,,,,,,,,
"[124.73710324438198, 93.22190000647777, 25.150917566661896, 112.42810690733161, 11.619655361200614, 90.01492303275693, 126.01267757608356, 94.49501151687645, 66.17088491648073, 86.34175640207255, 68.67431402936232, 105.48616724927295, 131.19513111220178, 145.45392140279742, 121.02759193679663, 75.14466997521788, 171.8419445882832, 175.25443153418067, 75.66465814755969, 127.93387216885063, 115.48406311018094, 124.13914367210563, 81.14764578224049, 142.56391487248334]",14.01453353,-17994571.73,2.269865159,,,,,,,,,,,
"[124.73710324438198, 92.9821460229415, 25.150917566661896, 107.70525845450345, 23.921482322230247, 90.05697152066608, 126.01199934055778, 132.17113645348942, 76.90121385246223, 52.87582588871671, 69.57986612182128, 106.43160849645469, 131.18411495960237, 145.45392140279742, 122.2058011611712, 60.790441004076335, 171.8419445882832, 160.17197642087325, 76.47853875947723, 123.11334323162497, 116.27064202079649, 124.13914367210563, 116.1098399949191, 142.56391487248334]",14.01453353,-17255343.42,2.233716929,,,,,,,,,,,
"[94.09212788580342, 88.65959615834953, 134.34944061503532, 108.77432378954643, 10.016298636982693, 92.91663097462093, 127.05844473739053, 133.09310003438546, 76.68720989845049, 84.45441906133554, 88.24449566638033, 115.6805908832953, 133.49498896773616, 122.96585089408835, 72.48581572401312, 79.56807075659322, 192.932014291629, 119.99616780944923, 72.7251741405277, 127.02394082963855, 150.31835259817163, 124.13914367210563, 127.48379138438287, 139.51878235694326]",14.00785766,-16676960.59,2.2022253,,,,,,,,,,,
"[107.28417000498163, 93.22190000647777, 25.150917566661896, 107.63714709209168, 83.52892505884697, 89.71356335846535, 126.01199934055778, 114.86871920602867, 76.90121385246223, 86.34175640207255, 88.48947366119069, 106.41056169393639, 131.18411495960237, 122.9601750263614, 121.54980778623323, 74.69409236270236, 171.55758087594063, 132.71163611654833, 76.35738670057742, 109.72741379210787, 117.35175813448528, 131.9932974836558, 128.31238065780246, 142.56391487248334]",14.00790236,-16192934.89,2.175603097,,,,,,,,,,,
"[96.83621601869737, 93.22190000647777, 25.150917566661896, 107.63714709209168, 10.08138565092821, 89.71356335846535, 126.01199934055778, 114.86871920602867, 76.90121385246223, 86.34175640207255, 87.72843779792115, 106.41056169393639, 142.94786160092923, 122.9601750263614, 121.13197491374109, 74.69409236270236, 171.8419445882832, 132.71163611654833, 76.35738670057742, 109.72741379210787, 115.35589593124905, 124.13914367210563, 128.31238065780246, 142.56391487248334]",14.00790236,-15637882.05,2.140046162,,,,,,,,,,,
"[94.09212788580342, 88.65959615834953, 134.34944061503532, 107.63714709209168, 9.639643042158006, 92.91663097462093, 127.05844473739053, 114.86871920602867, 76.68720989845049, 84.2285801598657, 88.24449566638033, 107.10491801962662, 130.9873060592523, 122.96585089408835, 73.63639219670179, 73.19682962489767, 192.932014291629, 119.99616780944923, 72.7251741405277, 109.72741379210787, 150.31835259817163, 124.13914367210563, 127.04662831039325, 142.30863482092357]",14.00790236,-15203802.46,2.099697441,,,,,,,,,,,
"[98.2748749691298, 104.93062978408085, 115.25000572802132, 82.39554146416373, 17.496499046932165, 63.3094686777432, 87.76184124790396, 105.65879166844701, 84.6024021890163, 82.05475016136864, 117.77311442537783, 108.4078329836653, 151.29041822082397, 105.18130188368103, 71.12216118535653, 72.84216001131396, 169.38866478387916, 176.81570068362004, 65.72626170203596, 109.70454746729234, 108.11973939028775, 113.26492107509117, 144.1287263544801, 112.77436970010957]",14.00474425,-14775898.63,2.05694821,,,,,,,,,,,
"[94.09212788580342, 94.13990469709402, 117.6192006097901, 107.63714709209168, 9.639643042158006, 92.91663097462093, 126.04425913562619, 114.86871920602867, 76.90121385246223, 84.05941793695405, 88.48947366119069, 106.41056169393639, 130.9873060592523, 106.90174864669648, 73.63639219670179, 62.413872370766704, 192.932014291629, 119.99616780944923, 45.54790332569385, 109.72741379210787, 151.59306895668658, 118.37440075089059, 127.04662831039325, 142.30863482092357]",14.00794694,-14169735.06,2.028427826,,,,,,,,,,,
"[74.8312737955176, 89.27982616199941, 106.340354138548, 71.54214561720653, 40.71874557207198, 91.91262696403516, 131.69271152193562, 115.7360940762628, 65.14309741473502, 97.16054702588625, 98.74878274175909, 108.7213756874365, 154.3595055522985, 107.16086930169436, 110.36663223024624, 61.77072716800579, 152.68356092732756, 112.31805057889954, 76.992406447539, 102.37596335520898, 108.6313611587114, 118.2682057695453, 133.2334214259247, 142.07460158999797]",14.00464075,-13235614.77,1.972296721,,,,,,,,,,,
"[96.1134410005301, 78.17146593700141, 61.48227948521742, 83.1765065374061, 11.273490977956467, 89.87172105871696, 125.85155306355131, 129.8010055629964, 86.49187717038768, 53.443328580917075, 57.316003569301714, 96.71591904348341, 135.8954264592653, 96.66260281727612, 49.47685080118766, 61.47252553733865, 180.03745511424518, 113.35566446156466, 81.29360233125882, 123.19573343509524, 110.4114169597929, 145.62623073113355, 116.55016628442965, 150.03001269847255]",14.00404144,-12783198.81,1.934750727,,,,,,,,,,,
"[96.47078422609312, 93.22190000647777, 25.150917566661896, 60.296115044415544, 10.08138565092821, 89.71356335846535, 126.01199934055778, 114.86871920602867, 76.90121385246223, 58.67690896390546, 87.72843779792115, 106.41056169393639, 142.94786160092923, 122.9601750263614, 121.13197491374109, 74.69409236270236, 171.8419445882832, 132.71163611654833, 51.144488494646765, 109.02713716650368, 115.35589593124905, 124.13914367210563, 128.31238065780246, 85.56875673366213]",14.00790236,-12373014.84,1.892721504,,,,,,,,,,,
"[94.17531153756087, 98.97825142042751, 33.98833461673657, 101.25854470985082, 10.286859142181939, 91.43968439444342, 126.46062120506359, 115.78084625616344, 24.358522259487412, 51.51780584708442, 57.57571762443495, 96.71591904348341, 131.23080356551574, 107.0239231922147, 71.18843278024269, 74.1977774211822, 148.5397515455971, 113.74687927293516, 76.69277872610493, 123.80522047681646, 111.52756104425148, 131.89642942384006, 128.54294985396177, 90.11610435610079]",14.00481929,-11977685.53,1.876035184,,,,,,,,,,,
"[94.17531153756087, 98.97825142042751, 33.98833461673657, 101.25854470985082, 11.273490977956467, 91.43968439444342, 126.46062120506359, 115.78084625616344, 20.36881185166544, 51.51780584708442, 57.57571762443495, 96.71591904348341, 121.80123145117801, 107.0239231922147, 74.60593532887708, 61.76716686837314, 148.5397515455971, 113.74687927293516, 64.85765923196516, 123.80522047681646, 111.54308602014703, 124.03872069467093, 128.54294985396177, 85.06570910541868]",14.00481929,-11211026.53,1.82530732,,,,,,,,,,,
"[73.20364845007579, 68.96379791044546, 106.04720002867388, 69.17208375290241, 20.529514300258235, 89.88202054285314, 126.21231570085035, 115.7360940762628, 85.38923744103766, 81.54383118863329, 79.82406752029138, 108.7213756874365, 166.32309940639877, 105.08805565893383, 110.57112647585966, 52.52946159178846, 179.79379006331564, 111.16001733508052, 47.19583131689099, 114.91952921841627, 130.04011750010554, 118.2682057695453, 128.1731014233892, 86.5837377160772]",14.00464305,-10812150.48,1.791840712,,,,,,,,,,,
"[109.88997271461803, 83.32620033153124, 45.95743918872026, 69.52668210786678, 22.01444936960435, 79.33675097539897, 127.03945451569689, 104.63094061389205, 86.76028674702195, 107.07546806032272, 94.43664437973132, 107.06455858028532, 136.57130834665656, 106.68901842821252, 126.54567134136242, 66.36186180903694, 170.19977808698906, 84.27028507387124, 57.12481040682436, 101.90304693854738, 111.86532170859381, 106.51431080566982, 116.83449343868187, 99.88207385478515]",14.00474727,-10285685.81,1.751347561,,,,,,,,,,,
"[109.90964564750996, 83.9748462009542, 108.75383978901283, 106.3118884765742, 1.1576307062206475, 79.33675097539897, 126.45129702783039, 104.63094061389205, 18.3894133848056, 58.53905162117333, 55.88865883568252, 107.06455858028532, 122.61221505936814, 106.68901842821252, 73.26051187386747, 66.38900985976092, 170.19977808698906, 84.27028507387124, 63.09573455866864, 110.53291569925555, 112.33110919211914, 106.39893629906065, 116.83449343868187, 100.14279492683738]",14.00474425,-9780554.807,1.72331489,,,,,,,,,,,
"[109.88997271461803, 83.32620033153124, 50.65986789123487, 69.52668210786678, 22.01444936960435, 79.33675097539897, 127.02111659469355, 104.63094061389205, 86.76028674702195, 58.53905162117333, 94.43664437973132, 107.06455858028532, 129.52800206159574, 106.68901842821252, 70.77763738431725, 66.36186180903694, 170.19977808698906, 84.27028507387124, 63.09573455866864, 101.90304693854738, 112.33110919211914, 106.39893629906065, 116.83449343868187, 99.88207385478515]",14.00474727,-9002620.102,1.679465584,,,,,,,,,,,
"[109.88997271461803, 81.61782770106916, 50.65986789123487, 69.52668210786678, 17.564979846123045, 63.49979650196625, 126.00693099292921, 104.63094061389205, 87.21367968563509, 58.53905162117333, 94.68162237454167, 106.37020225459507, 129.52800206159574, 105.1291617302993, 70.77763738431725, 66.36186180903694, 170.19977808698906, 84.27028507387124, 56.19089083472807, 101.90304693854738, 106.1856889756648, 106.39893629906065, 116.83449343868187, 99.88207385478515]",14.0047443,-8482877.093,1.644584352,,,,,,,,,,,
