STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,FMTM,PGTM,WDF2,WDF5,WSF2,WSF5
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/1/2015,7.61,,,200,210,14.1,16.1
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/2/2015,3.13,,,150,140,8.1,10.1
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/3/2015,8.95,,,350,350,36.9,44.1
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/4/2015,9.84,,,340,350,28,36.9
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/5/2015,14.09,,,190,190,31.1,38.9
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/6/2015,5.82,,,40,30,18.1,21.9
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/7/2015,14.54,,,30,10,31.1,38.9
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/8/2015,17.22,,,200,190,35.1,42.1
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/9/2015,9.4,,,20,30,25.1,31.1
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/10/2015,19.91,,,190,190,31.1,40
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/11/2015,9.62,,,180,190,23.9,30
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/12/2015,14.09,,,20,360,21.9,30
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/13/2015,4.03,,,50,50,10.1,13
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/14/2015,4.03,,,210,210,8.9,11
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/15/2015,8.5,,,330,330,17,21.9
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/16/2015,12.3,,,200,200,25.1,31.1
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/17/2015,12.08,,,360,360,32,40
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/18/2015,10.07,,,250,240,31.1,36.9
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/19/2015,6.04,,,60,50,13,16.1
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/20/2015,8.72,,,20,40,21.9,27.1
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/21/2015,5.37,,,30,20,15,19
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/22/2015,5.82,,,40,10,16.1,19.9
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/23/2015,9.4,,,260,260,16.1,21
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/24/2015,11.18,,,240,350,23,29.1
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/25/2015,13.65,,,330,340,35.1,44.1
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/26/2015,10.96,,,330,320,21.9,27.1
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/27/2015,10.51,,,230,240,19.9,23.9
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/28/2015,11.63,,,260,280,21.9,27.1
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/29/2015,10.74,,,360,360,23.9,29.1
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/30/2015,6.71,,,150,190,14.1,17
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,1/31/2015,10.29,,,190,190,19.9,25.9
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/1/2015,19.24,,,340,360,38,52.1
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/2/2015,9.62,,,190,200,21,28
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/3/2015,13.42,,,200,190,25.1,31.1
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/4/2015,13.87,,,20,20,32,42.9
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/5/2015,10.51,,,210,210,23,27.1
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/6/2015,14.99,,,170,170,23,30
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/7/2015,7.16,,,260,260,17,19.9
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/8/2015,8.95,,,350,330,21.9,27.1
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/9/2015,7.83,,,150,150,21,25.1
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/10/2015,7.61,,,160,160,21.9,25.9
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/11/2015,12.75,,,10,20,29.1,38.9
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/12/2015,9.84,,,190,190,21,28
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/13/2015,8.5,,,350,320,18.1,23
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/14/2015,12.3,,,70,70,25.1,33.1
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/15/2015,12.97,,,10,20,19.9,23.9
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/16/2015,9.62,,,10,10,19.9,23.9
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/17/2015,9.62,,,320,320,32,42.9
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/18/2015,4.47,,,90,,11,
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/19/2015,11.41,,,190,200,25.9,32
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/20/2015,10.29,,,30,30,21.9,28
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/21/2015,7.83,,,350,350,21.9,28
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/22/2015,19.46,,,30,30,29.1,36.9
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/23/2015,8.05,,,40,30,17,23.9
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/24/2015,7.16,,,360,20,17,23
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/25/2015,13.2,,,10,10,29.1,38.9
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/26/2015,17.22,,,10,30,31.1,40
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/27/2015,9.17,,,60,80,17,19.9
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,2/28/2015,8.5,,,160,160,15,18.1
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,3/1/2015,5.37,,,30,20,14.1,17
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,3/2/2015,10.07,,,180,180,23.9,33.1
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,3/3/2015,14.09,,,220,200,25.1,34
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,3/4/2015,14.76,,,20,40,23.9,32
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,3/5/2015,10.29,,,190,190,21,25.9
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,3/6/2015,10.29,,,180,180,16.1,19.9
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,3/7/2015,7.61,,,180,180,16.1,21
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,3/8/2015,7.61,,,190,180,18.1,21.9
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,3/9/2015,4.7,,,60,50,15,21.9
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,3/10/2015,5.37,,,200,190,15,19
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,3/11/2015,7.38,,,180,180,16.1,19
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,3/12/2015,6.04,,,180,120,15,21.9
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,3/13/2015,11.41,,,40,50,28,35.1
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,3/14/2015,10.96,,,360,20,23.9,29.1
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,3/15/2015,10.07,,,200,190,18.1,25.1
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,3/16/2015,16.55,,,210,200,32,40
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,3/17/2015,16.11,,,20,20,29.1,38
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,3/18/2015,5.37,,,100,90,10.1,15
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,3/19/2015,8.5,,,50,60,17,21.9
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,3/20/2015,4.47,,,170,170,10.1,13
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,3/21/2015,5.37,,,150,150,14.1,19
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,3/22/2015,7.38,,,180,180,16.1,21.9
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,3/23/2015,12.97,,,170,170,30,36
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,3/24/2015,11.86,,,310,310,29.1,36
USW00013975,"GAGE AIRPORT, OK US",36.2967,-99.7689,667.8,3/25/2015,14.99,,,360,360,40,49
