Profits,VAR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
101236471,4551956.549,0.115021214,3.549377242,9.603530909,0.013630231,14.95835209,0.4554445,0.003685779,1.204746565,0.119985217,0.422748563,0.16627491,1.982696718,0.266081394,1.341010784,0.244113572,0.094470537,3.657954967,19.34161445,62.41229431,27.67620511,0.000605845,0.270503129,0.011998733,0.855376149
101244307.7,4551985.148,0.139226243,3.549377242,9.603530909,0.013630231,14.95835209,0.4554445,0.003685779,1.225678025,0.119985217,1.673849545,0.16627491,2.003847278,1.684041339,1.341010784,2.270784974,0.094470537,5.784563771,19.41039966,62.41229431,27.67620511,0.002619667,0.270503129,0.011397149,0.855376149
101231627.9,4552223.622,0.139912029,3.549377242,9.603530909,0.013630231,14.95835209,0.414284381,0.004650659,1.204428149,0.112626841,0.949611966,0.166706335,2.427519484,3.437038173,1.341010784,0.241966246,0.094470537,5.26177537,19.34191615,63.96272866,27.56461635,0.002619667,0.156804605,0.012447238,2.311786698
101231646.5,4552224.444,0.139912029,3.549377242,9.603530909,0.012699906,14.95835209,0.414284381,0.004650659,1.204428149,0.112626841,0.949611966,0.166706335,2.427130224,3.437038173,1.341010784,0.241966246,0.094470537,5.26177537,19.34191615,63.96272866,27.56461635,0.002619667,0.156804605,0.012447238,2.311786698
101231219.2,4556397.03,4.601004809,0.299111779,9.603530909,0.013630231,14.95835209,0.096590267,0.008756831,1.204428149,0.11644737,3.5222249,0.175436501,5.610636717,7.878232004,1.349306185,2.070261069,0.075429509,0.281810588,19.41732161,63.96272866,25.65659576,0.002161431,0.270463987,0.012094622,2.311786698
101231132.2,4557052.42,0.031533881,0.299111779,9.603530909,0.013630231,14.95835209,0.096590267,0.008921426,1.204428149,0.11644737,3.5222249,0.166213347,5.592991992,7.878232004,1.341012619,2.068807612,0.075429509,0.281810588,19.4102713,63.96272866,25.65659576,0.002064767,0.022651006,0.008734748,2.311786698
101231132.2,4557052.42,0.031533881,0.299111779,9.603530909,0.013630231,14.95835209,0.096590267,0.008921426,1.204428149,0.11644737,3.5222249,0.166213347,5.592991992,7.878232004,1.341012619,2.068807612,0.075429509,0.281810588,19.4102713,63.96272866,25.65659576,0.002064767,0.022651006,0.008734748,2.311786698
101231129.7,4557052.42,0.031533881,0.299111779,9.603530909,0.013630231,14.95835209,0.096590267,0.008591263,1.204428149,0.11644737,3.5222249,0.166213347,5.592991992,7.878232004,1.341012619,2.068807612,0.075429509,0.281810588,19.4102713,63.96272866,25.65659576,0.002064767,0.022651006,0.008734748,2.311786698
101255711.9,4561833.655,0.139912029,0.828426668,9.603530909,0.008194684,14.95835209,0.241757105,0.008841713,1.225678025,0.112626841,1.043481839,0.17536716,4.594052492,0.110259788,1.341010784,2.270784974,0.094470537,6.563392391,19.41039966,62.3804101,27.67620511,0.002619667,0.270503129,0.010321172,0.795027883
101198897.6,4562030.349,0.139912029,0.774082777,9.603530909,0.013630231,14.95835209,0.414254069,0.008586827,1.204428149,0.26045851,3.645562663,0.175436501,4.594052492,7.878232004,1.34674003,0.236650014,0.160096574,6.591500859,19.41732161,63.96272866,27.85724087,0.009522532,0.270503129,0.012586579,2.311786698
