Month,Year,WFEC_MOORELAND_2,OKGECEDAVLD2,OKGE_SEILING,OKGESPIRITWIND,OKGECEDAR5LD2,OKGEKEENANWIND,OKGEWDWRDEHVUKEENAN,OKGEWDWRD1LD2,OKGEIODINE4LD2,WFECVICILD2,SPP Hub
1,2015,38.05,28.03740108,21.73225202,19.91,24.57902016,19.96703938,19.88454718,18.48184315,23.49137567,28.91031089,28.05102392
2,2015,34.61,28.59274435,22.74617232,21.54,29.51504107,21.61039539,21.61447738,20.66401592,24.25533274,29.7949183,28.7182942
3,2015,33.24,22.49026528,17.70548452,16.31,26.02036164,16.35876608,16.39330417,15.17820969,19.83995357,26.77718964,24.36746231
4,2015,44.19,22.72674986,15.36461375,12.31,19.37451375,12.38146222,12.37302472,9.810835833,18.73148028,27.90563611,25.38248792
5,2015,43.06,23.97134731,15.38503091,12.71,20.67134516,12.78325,12.73619341,10.38423804,18.80123253,27.74768508,25.82813132
6,2015,42.43,24.81345806,16.36685556,13.45,22.03233958,13.52578792,13.21059861,10.82170139,19.20901278,28.72167958,25.74415903
7,2015,36.8,26.33578898,21.21647608,19.74,24.21225269,19.80801411,19.83124422,18.49415108,23.19618575,28.29461761,27.35923562
8,2015,44.08,23.9163621,18.50587043,15.88,25.49510255,15.92287325,16.03500417,13.95045793,21.53178212,30.46357298,27.06115712
9,2015,50.09,23.59165403,15.29489764,11.67,22.3560825,11.73421514,11.73981403,8.70007875,19.35047361,30.87827028,27.18333486
10,2015,44.46,19.9652621,11.40235551,8.2,17.99186022,8.232373118,8.269669758,5.524854435,15.45546734,26.15246855,22.16396452
11,2015,44.09,18.39294216,6.842817337,3.34,29.44548779,3.385178918,3.362035368,0.176759778,11.85911914,29.43391331,20.44614632
12,2015,22.86,16.1112,13.78605793,12.83,16.27916344,12.87504395,12.87720336,12.13037352,14.95470309,18.23412702,18.1994297
1,2016,32.69,18.9375039,14.02991841,12.08,28.13966263,12.12775161,12.13520712,10.43274341,16.57759946,26.51937997,21.92737997
2,2016,25.57,17.49855014,8.020996552,8.89,13.64048951,8.936574138,8.939201868,8.151786638,12.67865647,17.82802141,18.79089095
3,2016,32.92,16.98972948,6.481033782,5.46,12.01023755,5.497352759,5.497352759,3.680685464,12.09361709,19.45257335,18.90572867
4,2016,36.86,17.47285208,9.543717361,7.32,13.51123681,7.357552361,7.400394167,5.07701875,13.46545056,21.76589222,20.30367625
5,2016,40.4,17.84273777,8.599520968,5.52,12.69316532,5.562017742,5.571639785,2.762230108,12.64974785,22.15468481,19.9385379
6,2016,40.01,23.66495194,15.94708472,13.55,21.75949472,13.59771,13.59771,11.35930653,19.20584375,27.46821931,27.07804583
7,2016,38.91,26.02276411,17.06654113,15.71,21.18565672,15.78462487,15.75521411,14.00328965,20.63070793,27.49575766,28.92095565
8,2016,37.43,25.65075968,20.32212124,19.06,24.41887661,19.11343078,19.10950376,17.46039073,22.94461183,28.66271371,28.29378992
9,2016,65.11,30.01045333,-6.782084444,-12.9,7.894864306,-12.83606264,-12.82782,-16.90486611,-8.4237,25.10736222,33.61534625
10,2016,62.1,37.4257504,13.0687457,10.52,18.90193884,10.62784395,10.61573669,3.998810484,10.41520806,30.19842258,34.68313333
11,2016,43.8,23.77961207,5.148050347,0.56,5.825728988,0.631059362,0.640655062,-7.34039043,0.503917476,15.88648849,23.59525714
12,2016,49.15,28.05747917,4.323559543,-2.13,8.657476344,-2.059159409,-2.119995833,-6.378795296,-2.191321237,19.51273535,33.39962728
1,2017,49.37,25.95098145,4.676897607,-1.57,8.920072177,-1.517924408,-1.120305645,-5.236348522,0.309091263,19.47352151,29.00092573
