,0,1
0,77951461.13124955,-32276017.417081535
1,84628820.12466958,-41407985.42492643
2,84156224.87965806,-36362604.088319585
3,79281865.52522467,-33884775.9720064
4,72703769.5487824,-32543743.53393082
5,81751777.37364142,-38830811.91502399
6,79240290.0964048,-33929070.87091539
7,81507027.17740314,-38480690.35824193
8,77594482.20505288,-33631165.351811156
9,71137597.58754972,-33849907.619472526
10,81718772.18911041,-39243265.49698474
11,79235744.02091213,-33941976.88680947
12,80426208.98305579,-39213400.54091903
13,77162856.9332882,-33918826.62952676
14,79732949.40977369,-40387061.260054454
15,77132202.42905787,-34003816.675596766
16,79233104.3750541,-36656206.45378452
17,77738827.7304877,-36177291.58760244
18,77496224.62071414,-36062615.506202005
19,77496224.62071414,-36062615.506202005
20,76931813.02963744,-34043428.129450105
21,78416618.67080675,-37394835.01901991
22,71408020.59112434,-34395625.74391015
23,78062073.74891575,-39011933.71821159
24,76350274.52043054,-34854168.94316972
25,76824091.95521173,-38677506.86252171
26,75547594.9489196,-34577513.76564654
27,77693296.45639595,-38907715.97125255
28,76989850.31588171,-38735110.01034758
29,77943505.81199215,-40515474.9674138
30,75110158.8017922,-34854337.46239528
31,76657982.20167954,-38815350.060419455
32,76240467.29779135,-35460142.60037588
33,76192245.50846149,-34967376.800479576
34,77193105.0117189,-39090746.91486133
35,77652305.51527831,-39473289.03610895
36,77755822.0522753,-39846742.008485
37,74714909.07506573,-34967457.72150801
38,77611055.53604534,-44666677.61256737
39,76997360.10770461,-39406484.20734235
40,76140320.15637495,-35534725.73829837
41,77534171.53884254,-41143766.01973206
42,76118822.82070123,-35370146.24833203
43,74939168.1735494,-35114631.10890284
44,77577073.59097207,-44415158.88346212
45,77473334.65773427,-39567136.11153939
46,74852732.20804243,-35084374.14971103
47,74802953.59248473,-35015457.84284004
48,74917710.66586322,-35100040.91270699
49,74817315.33490862,-35023494.72203911
50,74918811.29988873,-35101217.524739854
51,74939168.1735494,-35114631.10890284
52,74689508.34883451,-35006573.3024701
53,77449316.9453971,-39770962.74400459
54,76543096.65632309,-39456112.853225276
55,75103365.3752804,-38134205.36641857
56,74875669.66934972,-37536680.53948692
57,74816901.36253741,-35023844.83310421
58,76903987.0064898,-39502426.81427114
59,74927346.67166182,-38073093.13288935
60,76903976.38313714,-39502405.72129437
61,77327755.58018468,-40373670.0793755
62,74215350.3727267,-35008709.28946928
63,74913906.91159281,-38215049.72340117
64,75590345.80112043,-39547752.62765903
65,74812362.63526294,-35035222.25534666
66,76851735.99980378,-39569243.54978224
67,77007296.40361741,-40087644.81431017
68,74787483.97362417,-35029074.23968666
69,76858308.06939022,-39626238.95061279
70,76802581.22219647,-39716746.73815007
71,74778654.63604674,-35041200.41398701
72,75497251.36347137,-39553318.64435043
73,76758153.0792258,-39700972.66875808
74,76793129.40405336,-39731649.25099092
75,74425316.40503564,-35412452.408349365
76,74635342.01888415,-38121256.412461296
77,75193942.41928546,-39692529.340296276
78,76792175.98241378,-39730606.672581114
79,69476015.61348028,-35414060.08450593
80,76437318.2079535,-40148521.47616438
81,75307757.6938091,-39824325.094256826
82,73923073.21454515,-38221059.254349336
83,71760938.33576156,-36048529.75927564
84,72691429.9902987,-37018343.0834139
85,72332055.16502261,-36235631.912035145
86,73473008.48759916,-37432416.17088804
87,73600871.29711714,-37708006.56773095
88,73577418.51846997,-37686680.846360855
89,76252908.49699326,-40991036.36085204
90,71254797.24940287,-36126393.93091553
91,74697912.24830826,-40170953.909107916
92,73466475.07562046,-37862507.646051586
93,72339305.77551301,-37109502.67845556
94,71542092.38160877,-36236363.77379176
95,72826948.55585076,-37668475.14217134
96,75820229.92667612,-40299777.57455443
97,75782509.01030795,-40254870.32937813
98,72514459.28372914,-37345691.08965552
99,75785335.54169075,-40259487.08993335
