HubPrices,NodePrices,WindPower
23.19,23.582698144654913,18.21
25.22,25.622037962736528,24.6
24.25,24.656040741914364,10.13
24.37,24.77426172894644,5.56
23.56,23.968709261366254,7.89
23.39,23.791593209494547,15.91
23.67,24.065366664106804,8.08
23.86,24.255811417348784,5.28
24.28,24.676256170590765,10.41
25.11,25.50269814465491,11.94
25.81,26.20002962520302,17.57
25.87,26.25958487196104,27.54
26.4,26.78691635250915,34.17
26.25,26.635582092783203,44.3
25.69,26.07024505387942,16.16
25.15,25.53513733954122,3.69
24.97,25.357361105751128,5.09
26.31,26.694247833057258,3.88
30.78,31.153573755249695,0.5
27.92,28.303803079815278,6.12
28.92,29.300689807121405,3.04
26.99,27.37469258629924,0.58
25.17,25.560029625203022,4.16
25.01,25.39736110575113,7.14
23.64,24.03002962520302,0.35
24.33,24.68489411908646,5.47
22.99,23.383142897896892,0.44
22.62,23.01492191086482,0.0
22.91,23.304477157622838,0.0
24.06,24.449584871961036,12.07
39.42,38.69325423458684,7.89
25.1,25.485582092783204,0.89
25.1,25.48691635250915,13.35
26.78,27.164692586299243,0.12
27.22,27.60513733954122,0.0
28.11,28.49513733954122,0.24
27.9,28.28691635250915,0.0
27.17,27.558250612235096,0.0
26.87,27.258695365477077,0.0
26.9,27.289584871961036,0.0
26.95,27.339140118719058,0.0
27.51,27.896026846025187,0.0
28.13,28.531148456252563,0.0
28.09,28.49693024839833,0.0
27.17,27.57203796273653,10.69
28.19,28.64096081935452,5.47
25.34,25.743816975704455,0.0
24.88,25.285151235430398,0.0
22.81,23.21826450812427,0.0
26.06,26.577229052409802,0.27
22.28,22.68915401460824,4.07
22.38,22.78959876785022,0.19
22.88,23.277145677074728,17.44
23.02,23.428264508124272,11.82
23.84,24.241148456252564,0.49
24.37,24.764032404380856,3.6
25.3,25.710488274334182,1.55
26.47,26.87826450812427,0.54
26.0,26.38780585899311,13.86
25.14,25.530474378445003,11.18
24.01,24.40492191086482,17.44
23.59,23.97780585899311,12.46
23.74,24.14559598867238,19.61
22.93,23.33248271597851,17.44
23.09,23.478695365477076,24.21
26.28,26.412072744853603,30.12
26.67,26.695331966777985,48.37
30.75,29.87426189852295,76.04
29.71,29.114456440971455,184.89
25.14,24.748153425799096,198.6
20.99,21.19501227653861,198.6
19.83,19.8037405907081,198.6
23.32,22.434032573957367,198.6
22.61,22.093177764802224,198.6
20.69,20.69442856440484,198.6
22.11,21.893386203139908,198.32
35.57,33.820766531270785,197.97
23.03,23.049994927874202,160.3
24.37,24.350411889337828,153.96
25.08,25.13335142102283,197.8
25.8,25.881815628509667,196.85
27.67,28.027562638538356,103.65
25.28,25.653573755249695,74.43
31.36,31.727791963103932,51.09
29.0,29.38780585899311,22.68
27.65,28.039584871961036,10.97
26.64,27.030474378445003,2.01
26.61,27.001808638170946,0.4
26.21,26.601808638170947,0.25
26.28,26.674032404380856,0.08
44.63,44.98533887232845,0.35
29.88,30.256687027943567,14.37
30.6,30.967791963103934,68.88
28.59,28.95645770337799,83.75
36.93,35.34932800998187,17.57
26.5,26.625846199465858,37.3
26.38,26.462705134993627,49.36
25.75,25.92254528987394,90.81
25.09,25.339932353978767,99.8
25.99,26.0611415507021,72.83
26.25,26.26243412276051,52.32
26.04,26.336631444386853,76.36
21.99,22.368466040911493,190.85
28.6,28.960231157990243,196.94
24.15,24.50978640474826,155.98
24.18,24.522885781552954,131.81
22.57,22.937791963103933,198.6
21.54,21.903344430684115,198.6
20.28,20.66024505387942,198.6
19.94,20.32157931360537,198.6
20.27,20.650689807121402,198.6
19.75,20.136471599267168,198.6
