,0,,1,
0,94213190.78,94.21319078,-18312197.42,18312197.42
1,99335961.17,99.33596117,-20731597.68,20731597.68
2,98780848.2,98.7808482,-20321002.21,20321002.21
3,98744569.14,98.74456914,-19879493.68,19879493.68
4,94769660.71,94.76966071,-18537506.31,18537506.31
5,95213903.04,95.21390304,-18552173.7,18552173.7
6,98430127.21,98.43012721,-19660588.06,19660588.06
7,97427450.14,97.42745014,-19242899.5,19242899.5
8,98210768.59,98.21076859,-19624337.26,19624337.26
9,99047487.65,99.04748765,-20614607.45,20614607.45
10,98461794.22,98.46179422,-19749171.72,19749171.72
11,99025103.28,99.02510328,-20478962.01,20478962.01
12,95555927.05,95.55592705,-18590642.88,18590642.88
13,94330354.9,94.3303549,-18371426.72,18371426.72
14,97174326.06,97.17432606,-19226546.56,19226546.56
15,98907681.51,98.90768151,-20386814.84,20386814.84
16,99229338.44,99.22933844,-20647907.82,20647907.82
17,96636101.3,96.6361013,-18924654.45,18924654.45
18,99245243.35,99.24524335,-20706009.26,20706009.26
19,96410010.61,96.41001061,-18912858.63,18912858.63
20,98179924.22,98.17992422,-19589182.67,19589182.67
21,97988365.33,97.98836533,-19530021.19,19530021.19
22,94372244.35,94.37224435,-18398277.99,18398277.99
23,97161451.16,97.16145116,-19214333.27,19214333.27
24,97553586,97.553586,-19344968.23,19344968.23
25,99056492.04,99.05649204,-20645263.29,20645263.29
26,94692860.92,94.69286092,-18473659.37,18473659.37
27,95344969.52,95.34496952,-18587575.13,18587575.13
28,95863336.19,95.86333619,-18767999.99,18767999.99
29,97702098.41,97.70209841,-19376999.41,19376999.41
30,97082726.98,97.08272698,-19144980.85,19144980.85
31,95669086.47,95.66908647,-18699275.86,18699275.86
32,95763328.07,95.76332807,-18715842.02,18715842.02
33,98848476.76,98.84847676,-20328407.02,20328407.02
34,98724728.84,98.72472884,-19879043.2,19879043.2
35,95769296.55,95.76929655,-18760591.04,18760591.04
36,97891804.42,97.89180442,-19477186.47,19477186.47
37,94493234.82,94.49323482,-18421668.58,18421668.58
38,98538880.6,98.5388806,-19877195.04,19877195.04
39,98060329.24,98.06032924,-19567095.77,19567095.77
40,96841848.6,96.8418486,-19016905.74,19016905.74
41,96682538.25,96.68253825,-18992676.26,18992676.26
42,95966943.11,95.96694311,-18782808.41,18782808.41
43,97463608.29,97.46360829,-19286937.68,19286937.68
44,98499321.79,98.49932179,-19802994.74,19802994.74
45,94611064.42,94.61106442,-18437952.79,18437952.79
46,97020446.14,97.02044614,-19111610.71,19111610.71
47,96967019.8,96.9670198,-19060713.16,19060713.16
48,98932909.63,98.93290963,-20442470.35,20442470.35
49,96718597.34,96.71859734,-19015864.16,19015864.16
50,96903769.03,96.90376903,-19054629.39,19054629.39
51,94514340.28,94.51434028,-18424891.04,18424891.04
52,95656814.82,95.65681482,-18656244.63,18656244.63
53,96662525.4,96.6625254,-18938955.47,18938955.47
54,95611427.49,95.61142749,-18624382.82,18624382.82
55,96876774.92,96.87677492,-19030418.3,19030418.3
56,96293010.44,96.29301044,-18858221.62,18858221.62
57,98531908.78,98.53190878,-19839709.7,19839709.7
58,96353339.14,96.35333914,-18887620.47,18887620.47
59,97819500.78,97.81950078,-19455733.06,19455733.06
60,98014600.97,98.01460097,-19546385.51,19546385.51
61,97077549.45,97.07754945,-19142846.14,19142846.14
62,96332328.24,96.33232824,-18875710.56,18875710.56
63,94614855.19,94.61485519,-18462255.23,18462255.23
64,97883195.98,97.88319598,-19457881.24,19457881.24
65,96272780.88,96.27278088,-18836937.22,18836937.22
66,96234829.71,96.23482971,-18831506.5,18831506.5
67,96398310.91,96.39831091,-18905015.67,18905015.67
68,96985093.26,96.98509326,-19092578.14,19092578.14
69,97762653.25,97.76265325,-19409664.73,19409664.73
70,95284542.72,95.28454272,-18575460.03,18575460.03
71,94672783.04,94.67278304,-18464784.93,18464784.93
72,96054566.32,96.05456632,-18794288.7,18794288.7
73,95632297.24,95.63229724,-18645521.39,18645521.39
74,99003122.14,99.00312214,-20452259.14,20452259.14
75,98041568.06,98.04156806,-19564272.96,19564272.96
76,96152373.38,96.15237338,-18829121.85,18829121.85
77,96176262.44,96.17626244,-18830191.71,18830191.71
78,98537475.42,98.53747542,-19876887.48,19876887.48
79,95319873.42,95.31987342,-18586338.25,18586338.25
80,96713379.86,96.71337986,-19004164.13,19004164.13
81,97502791.32,97.50279132,-19330574.46,19330574.46
82,98829814.44,98.82981444,-20321257.59,20321257.59
83,97483500.53,97.48350053,-19303447.48,19303447.48
84,97530173.25,97.53017325,-19334070.76,19334070.76
85,97791720.49,97.79172049,-19441681.64,19441681.64
86,95262116.06,95.26211606,-18564239.55,18564239.55
87,99010246.79,99.01024679,-20458495.83,20458495.83
88,98526372.07,98.52637207,-19818425.9,19818425.9
89,97497176.23,97.49717623,-19309701.49,19309701.49
90,98943445.96,98.94344596,-20445040.94,20445040.94
91,96995644.78,96.99564478,-19098174.44,19098174.44
92,97744990.91,97.74499091,-19397257.66,19397257.66
93,95238194.49,95.23819449,-18559779.16,18559779.16
94,97774352.33,97.77435233,-19432803.7,19432803.7
95,95621344.32,95.62134432,-18627932.9,18627932.9
96,96113005.82,96.11300582,-18796807.43,18796807.43
97,96093092.07,96.09309207,-18796670.07,18796670.07
98,96124814.74,96.12481474,-18812479.16,18812479.16
99,98504845.07,98.50484507,-19815471,19815471
